,TypeData.CompTypeID,short_descriptions,gold_failure_locations,index,dfsp_Mistral_sup_simcse_test
10,CBL_PWR_PLT_PINK_EPR_DF_UG_1,"Cable - Plant - 5-35kV - Pink EPR - Discharge Free - Jacketed-Shielded - Underground - wet cable, outdoor/dry termination, wet splice","['Cable - insulation', 'Terminations - outdoor or dry', 'Terminations - outdoor', 'Splices', 'Cable - taped metal shield', 'Cable - insulation shield (extruded polymer)', 'Cable - outer jacket', 'Cable - conductor']",10,"['Pressure Sensing Assembly Prox Switches Lever', 'Motor Controller (Allen Bradley)', 'Pulleys - Idler', 'Feeder Air Handler Assembly (including motor, pump, filter and regulator)', 'Pulleys - Flanged (Timing)', 'Feeder Paddle Stop Proximity Switch', 'Wide Field of View Assembly - Read Head', 'PIE Boards (Transport, Elevator, Reader and Transition)', 'Feeder Pressure Sensing Lever Assembly', 'Feeder Stripper Assembly', 'Gate Driver Boards', 'Wiring and Cables (Power and Signals Communications)', 'USB to Serial Converter (Edgeport) Connector (Reader Module)', 'Pulleys - Driven', 'Door Panel Assembly', 'Feeder Pressure Lever Assemblies', 'Power Factor Correction Capacitor Bank', 'System Host Computer', 'Feeder Phenolic Chain Guide', 'P-LED10 Circuit Card (Photocell Emitter)', 'Feeder Paddle Drive Gear Motor', 'Feeder Belt Pulleys', 'Stacker Diverter Plate Cover Assembly (Wimpy Panel and Interlocks)', 'Mechanical Roller & Bearing Assemblies', 'Stacker Module Transport and Drive Belts', 'Feeder Staging Belt Tension Sprocket', 'Jogger Power Cable and Connector', 'Jogger Paddle Assembly', 'Maintenance Key Switch', 'Start Warning Horns', 'Stacker Drive Shaft Assembly', 'Stacker Warning Lamps', 'E-Stops', 'ICS Reader (Read Head and Electronics Enclosure)', 'Pulleys - Drive', 'Feeder Letter Present Photo Sensor', 'Card Cage Fan\n\n(Transport and Reader Module)', 'Stacker LCD Display Panel', 'Finger Guard Assembly (Stacker)', 'Circuit Breaker Panel Assembly (Feeder Module)', 'Feeder Paddle Pawl Assembly', 'Feeder Module Transport and Drive Belts', 'P-RBK 11 Back Plane Assembly (Reader Module)', 'E-Stops and Interlocks', 'Auger Belts O-Ring (Stacker)', 'Feeder Staging Belt Servo Motor Cables and Connectors', 'Feeder Pick Off Belt Servo Motor', 'Mode Indicators', 'LI1 Photocell (Jam Detection)', 'Feeder Tach', 'Feeder Slide Switch', 'P-DZ90 Circuit Card (Photocell)', 'Jogger Motor', 'Universal Light Barrier (ULB)', 'Jogger Vibration Control Cable Assembly', 'Stacker Volume Switches', 'Feeder (Paddle) Guide Sleeve Assembly', 'Gate Stop Assembly (Reader and Stacker)', 'Feeder Staging Belt Drive Servo Motor', 'Pusher Assembly (Stacker)', 'Auger Assembly (Stacker)', 'Stacker Back Plane Chassis Assembly P-SBK 11 with PCB (P-STK-11/P-STK-03)', 'Receptacle Box (Transport Module)', 'Wide Field of View Assembly - Computer', 'Feeder Staging Belt Drive Servo Motor Sprocket', 'Jogger Ground Straps', 'Feeder Control Board SE-04', 'Feeder Take-Away Pressure Roller Assemblies', 'Feeder Paddle Drive Gear Motor Sprocket', 'Operator Panel Assembly (OPA) Indicators', 'Jogger Drive Link', 'Jogger Motor Pulley', 'Edging Roller Sensor', 'Stacker Switch Mount Molded', 'Stacker Four-Pocket, Pocket Assembly with Teflon Guide Strips', 'Stacker Manual Motor Starter (Thermal Breaker)', 'Filter\n\n(Transport and Reader Module)', 'Pressure Sensing Assembly Prox Switches', 'Descriptor Bus Terminator (Reader and End Stacker Module)', 'Feeder Pick Off Belt Servo Motor Cables and Connectors', 'Feeder Jam Release Slide Assembly', 'Reader Control Relays', 'Stacker Circuit Card Assemblies (P-PMB 32)', 'P-PMB32 Solenoid Driver Back Plane', 'Reader Diverter Back Plane Driver Assembly (P-P-WMMB-3), shown in elevator module', 'Label Printers (Stacker Modules)', 'Reader & Stacker Diverter Gate Assembly', 'Drive Motor AC (Transport, Stacker & Elevator Module)', 'Operator Panel Assembly Switches (Pwr On/Off)', 'Feeder (Paddle) Guide Sleeve Assembly Index Bearing', 'Reader Foam Roller', 'RET Module Transport and Drive Belts', 'Feeder Power Supplies, 5V and 24V', 'Feeder Paddle Wear Plate', 'Main Power Distribution Unit', 'Label Printers (Stacker Module)', 'Jogger Vibration Control Assembly', 'Feeder Paddle Pressure Sensor Controller (Fiberoptic)', 'Feeder Staging Belt', 'Terminal Strips', 'Wide Field of View Assembly - Transformer', 'Stacker Lower Front Panel Assembly', 'Power Supplies, 24 and 42 VDC', 'Stacker Arm Spring Assembly', 'Circuit Card Assemblies (P-MCU xx, P-DRM 11, P-DRM 20, P-PDI 02, P-BAB 1, P-MIO96, P-TIF03, P-IJP-02)', 'Jogger Drive Belt', 'Stacker Fence Support Assembly including Bumper Support Assembly with Low Friction Tape', 'Feeder Paddle Tension Chain Sprocket', 'Air/Vacuum Tubing', 'Jogger Pillow Block Bearings and Shaft', 'Feeder Pick Off Belts', 'Feeder Paddle Drive Gear Chain', 'Tach Transducers (Reader & Transition Module)', 'Feeder Paddle Pressure Sensor (Fiberoptic)', 'Feeder A-18 Connector Board', 'Feeder Staging Belt Drive Gear Chain', 'Feeder Wear Compensation Arm Assembly', 'Fuses (Reader and Stacker Modules)', 'Circuit Breaker Panel Assembly (Transport & Reader Module)', 'Start Up Warning Lamps']"
11,COMP_Air_3,Compressor - Reciprocating,"['Inter and After Cooler, Tubes', 'Crosshead and Connecting Rods', 'Fasteners and Hardware', 'Pulleys and Belts', 'Total Closure Valve and Relief Unloader Valve', 'Frame and Mounting', 'LP and HP Cylinders', 'Gaskets, O-Rings, and Packing', 'Inlet Air Filters, Oil Bath Type', 'Shaft', 'Traps', 'Relays', 'Inlet and outlet valves and check valves', 'Scraper rings and packing', 'Piston rings and liner', 'Tubing and Fittings', 'Shaft seal', 'Bearings', 'Lubricators', 'Inter and After Cooler, Tube sheets and baffles', 'Lubrication', 'Inlet Air Filters, Element Type']",11,"['Bearing Seals (all types)', 'Bearing Seals (contact type)', 'Bearing housings', 'Bearing Seals (non-contact type)', 'Lubrication - Oil', 'Bearings - Rolling Element']"
12,CoolingTower_MechDraft_Crossflow_V1,Cooling Tower - Mechanical Draft - Cross Flow,"['Coupling - disc pack or diaphragm, if present', 'Motor rotor fans and hardware', 'Gearbox bolting', 'Motor gaskets', 'Cold water basins and walls', 'Motor frame', 'Gearbox base or mounting', 'Motor bearing grease seals', 'Structural members - FPR (deck members, beams, columns, joints), if present', 'Wind vanes, if present (to direct air motion radially)', 'Drift eliminators - cellular type', 'Gearbox pressure relief valve, if present', 'Structural members - concrete (deck members, beams, columns, joints), if present', 'Motor stator laminations', 'Motor lubrication - grease - open bearing', 'Motor fan - external', 'Motor anti-rotation device, if present', 'Stairs and walkways - concrete type', 'Motor space heaters', 'Drive shaft - graphite composite', 'Louvers - FRP type', 'Tower anchorage', 'Hot water distribution valve', 'Gearbox shaft oil seals', 'Gearbox oil line (external), if present', 'Cold water basins', 'Stairs and walkways - hardware', 'Vibration sensors and instrumentation', 'Fill', 'Fan assembly', 'Gearbox instrumentation (oil temperature, oil level)', 'Motor bearing lubrication delivery & drain tubes', 'Structural hardware (e.g. fasteners, shear connectors, diagonal straps)', 'Shroud', 'Stairs and walkways - FRP type', 'Gearbox oil breather', 'Louvers - concrete type', 'Structural members - wood (deck members, beams, columns, joints), if present', 'Gearbox bearings - rolling element (radial and thrust)', 'Drift eliminators - blade type (wood type)', 'Motor rotor bars and shorting rings (cast type)', 'Gearbox gears', 'Vibration trip switch', 'Hot water header - FRP only', 'Drift eliminators - blade type (PVC type)', 'Gearbox oil', 'Louver ice retainers (sacrificial)', 'Louvers - plywood type', 'Motor lubrication - grease - shielded bearing', 'Stairs and walkways - wood type', 'Casing', 'Drift eliminators - blade type (all types)', 'Motor base', 'Louver support arms - concrete type', 'Motor stator windings', 'Gearbox anti-rotation device, if present', 'Gearbox fan - external', 'Gearbox sump oil heater, if present', 'Motor endbells or bearing housings', 'Motor shaft', 'Motor stator winding - blocking, bracing, and wedges', 'Gearbox oil line (suction only), if present', 'Louvers - all types', 'Motor lubrication - grease', 'Hot water distribution downtakes', 'Structural members - concrete (beams only), if present', 'Motor bearings - rolling element', 'Motor leads and electrical connections', 'Coupling - pin and bushing, if present', 'Gearbox gaskets', 'Hot water basin']",12,"['Gears', 'Grease', 'Feet and Lifting Lugs', 'Bearings - Roller', 'Driving Shaft Bearing Cover', 'Grease release vents', 'Oil or Grease Seals', 'Disc Springs', 'Bearings - Thrust', 'Oil Thrower', 'Impeller Rotors', 'Fasteners', 'Air Filter - Cartridge type', 'Gear Trough (i.e. splash cover)', 'Headplates', 'O-Rings', 'Air Intake Housing', 'Cylinder', 'Fibre Washers', 'Gaskets', 'Oil', 'Impeller Shafts', 'Base Plate', 'Gear Case']"
13,CPLG_Gear_2,Coupling - Gear Type - Grease Lubricated,"['Fasteners', 'Gear teeth', 'Grease', 'Sleeve gasket or o-ring, if present', 'Sleeve labyrinth seal, if present', 'Sleeve mating gasket']",13,"['Heating Elements (Baskets) - Supports', 'Lube Oil System (Guide Bearing, Support Bearing, Rotor Drive)', 'Guide Bearing Air Seal Cover', 'Auxiliary Drive Air Compressor, Tank, Air Filter, Oiler, and Solenoid Valve', 'Rotor Assembly (Diaphragm, Stay Plates, Shell, Post, Trunnions)', 'Soot Blower', 'Support Radial Bearing (Rolling Element)', 'Lube Oil Metering Orifice, if present', 'T-Bars', 'Heating Elements (Baskets) - Cold', 'Instrumentation - Pressure and Temperature (Local, DCS, Control Room)', 'Pinion Shaft Seal', 'Drive Gearbox oil cooler, if present', 'Drive Gearbox', 'Lube Oil (Guide Bearing, Support Bearing, Rotor Drive)', 'Support Bearing (Tilt Pad Type)', 'Pin Rack', 'Support Radial Bearing Stub Shaft', 'Heating Elements (Baskets) - Hot', 'Support Bearing Cover Shield', 'Drive Gearbox Frame', 'Support Bearing Housing', 'Drive Pinion Gear', 'Auxiliary Drive Air Motor', 'Support Bearing Air Seal Cover', 'Heating Elements (Baskets) - Intermediate, if present', 'Guide Bearing (Rolling Element)', 'Auxiliary Drive Air Compressor, Tank, Filter, Oiler, and Solenoid Valve', 'Guide Bearing Housing', 'Air Pre-Heater Housing', 'Seals (Axial, Radial, Bypass/Circumferential, Post)', 'Drive Motor - Electric (Main or Auxiliary)', 'Seal Plates (Hot Radial, Cold Radial, Axial, Sector)', 'Drive Motor and Gearbox Couplings', 'Lube Oil Cooling Heat Exchanger (Guide Bearing, Support Bearing, Rotor Drive)']"
14,CPLG_RBR_4,Coupling - Elastomeric Type - Synthetic Gear,"['Hub', 'Gear teeth (elastomeric)', 'Hub fasteners']",14,"['Bolting, hardware, and fasteners', 'Air or Pneumatic Cylinder - Support rods and end caps, if present', 'Air or Pneumatic Cylinder, Piston Ring, if present', 'Air or Pneumatic Cylinder, Piston, and Rod', 'Air or Pneumatic Cylinder', 'Brake Disc', 'Frame', 'Torque spring', 'Air or Pneumatic Cylinder - Hose Connection Ports', 'Brake Pads, or Shoes', 'Air or Pneumatic Cylinder, Piston, and Rod - Seals', 'Clevis pins, if present', 'Air Line Connector', 'Mechanical linkages and brake arms', 'Air or Pneumatic Cylinder - Bearings or Bushings, if present']"
15,Crane_Cable_WireRope_V0,Crane - Hoist Cable - Wire Rope,"['Cable (Wire Rope) Anchor Clamps and Pin', 'Cable (Wire Rope)']",15,"['Brake Linings, Pads, or Shoes', 'Holding or Pull-in coil', 'Connector and wiring', 'Frame', 'Torque spring', 'Brake Drum', 'Clevis pins, if present', 'Pivot needle bearings', 'Mechanical linkages and brake arms', 'Bolting, hardware, and fasteners', 'Magnetic air gap']"
16,Crane_Hook_Block_1_V0,Crane - Hook Block Assembly,"['Lubrication - Grease', 'Bearings - Rolling Element Type', 'Grease Fittings', 'Sheaves', 'Sheave Pin (shaft)', 'Sheave Housing', 'Rope (Cable) Guard', 'Trunnion Pin', 'Sheave Pin Keepers', 'Bolting and Fasteners', 'Bearing Grease Seals']",16,"['Cantilever (Fixed Boom)', 'Trolley', 'Fire suppression', 'Gathering Conveyor', 'Fire Suppression', 'Barge Haul System', 'Breasting System', 'Boom']"
17,Cylinder_Hydr_1_V0,Cylinder_Hydraulic,"['Hydraulic Cylinder, Piston Ring, if present', 'Hydraulic Cylinder - Bearings or Bushings, if present', 'Grease Fittings (e.g. Zirc Type), if present', 'Hydraulic Cylinder, Piston, and Rod - Seals', 'Hydraulic Cylinder - Support rods and end caps, if present', 'Hydraulic Cylinder - Hose Connection Ports', 'Hydraulic Cylinder, Piston, and Rod', 'Hydraulic Cylinder']",17,"['Rollers - other', 'Holdback - oil filled', 'Fire suppression piping', 'Emergency stop pull cord', 'Holdback - grease filled', 'Pulley bearings', 'Fire sensor', 'Pulleys', 'Anti-static brush', 'Rollers - static steering', 'Misalignment switch', 'Belt steering device or power trainer, if present', 'Rollers', 'Scale, if present', 'Fire suppression nozzle(s)', 'Speed switch', 'Scrapers, if present', 'Belt']"
18,DG_Pipe_Coupling_1,Pipe - Coupling - Dresser Type,"['Leak-off Penetration, if present', 'Bolted Fasteners', 'Follower', 'Gaskets', 'Middle Ring']",18,"['Conveyor frame, belt skirting, mounting, and cover', 'Motor stator laminations', 'Speed switch (main belt)', 'Motor and Gearbox bearing shaft seals', 'Product scale, if present', 'Motor leads and electrical connections', 'Motor rotor bars and shorting rings (cast type)', 'Motor or machine grounding wire', 'Lubrication - oil', 'Gearbox - oil breather', 'Drive chain', 'Gearbox - gears', 'Holdback (main belt) - oil filled', 'Anti-static brush (main belt)', 'Gearbox bearings - rolling element (radial and thrust)', 'Motor stator winding blocking, bracing, wedges, and ties', 'Rollers and guides (main belt) - static steering', 'Rollers and guides (main belt)', 'Pulleys (main belt)', 'Pulley bearings (main belt)', 'Steering device or power trainer (main belt), if present', 'Lubrication - grease', 'Motor and Gearbox frame, enclosure, mounting, housing, or gear case', 'Scrapers or belt cleaners  (main belt), if present', 'Main belt', 'Emergency stop', 'Drive sprockets', 'Holdback (main belt) - grease filled', 'Motor external fan & cover', 'Motor stator windings', 'Motor output shaft', 'Misalignment switch (main belt)', 'Motor bearings - rolling element (radial only)', 'Gearbox - gaskets', 'Rollers and guides (main belt) - other', 'Motor space heaters, if present']"
19,DG_RLY_CTL_DHC_1,Relay - Control - Electromechanical - De-energized - High Cycle,"['Contacts', 'Coil', 'Wiring, crimps, and terminations', 'Mechanical Assembly']",19,"['Motor shaft', 'Conveyor frame, belt skirting, mounting, and cover', 'Motor stator laminations', 'Speed switch (main belt)', 'Motor leads and electrical connections', 'Motor rotor bars and shorting rings (cast type)', 'Motor or machine grounding wire', 'Motor endbells or bearing housings', 'Holdback (main belt) - oil filled', 'Anti-static brush (main belt)', 'Motor stator winding blocking, bracing, wedges, and ties', 'Scale, if present', 'Rollers and guides (main belt) - static steering', 'Rollers and guides (main belt)', 'Pulleys (main belt)', 'Pulley bearings (main belt)', 'Steering device or power trainer (main belt), if present', 'Scrapers or belt cleaners  (main belt), if present', 'Main belt', 'Lubrication', 'Emergency stop', 'Motor bearing shaft seal', 'Holdback (main belt) - grease filled', 'Motor external fan & cover', 'Drive pulleys and belts', 'Motor stator windings', 'Misalignment switch (main belt)', 'Motor bearings - rolling element (radial only)', 'Motor frame, enclosure, and mounting', 'Rollers and guides (main belt) - other', 'Motor space heaters, if present']"
20,DG_RLY_CTL_DLC_1,Relay - Control - Electromechanical - De-energized - Low Cycle,"['Contacts', 'Coil', 'Wiring, crimps, and terminations', 'Mechanical Assembly']",20,"['Feeder Belt', 'Motor Leads and Electrical Connections (Belt or Clean-Out)', 'Motor Stator Windings (Belt or Clean-Out)', 'Rollers (Belt or Clean-Out)', 'Motor Bearings - Rolling Element (Belt or Clean-Out)', 'Speed Switch and Sensor (Belt or Clean-Out)', 'Internal Wiring and Connections (Load Cell, Speed sensor, Port Lights, etc.)', 'Motor Stator Laminations (Belt or Clean-Out)', 'Lubrication - Grease', 'Fire suppression nozzle(s)', 'Feeder Frame and Housing', 'Motor Rotor Cast Type (Belt or Clean-Out)', 'Motor and Gearbox Couplings (Belt or Clean-Out)', 'Feeder Belt Skirting', 'Fire suppression piping', 'Gearbox and Motor - Frames, Enclosures, Mounting, Housing, or Gear Case  (Belt or Clean-Out)', 'Leveling Bar', 'Fire sensor', 'Lights', 'Motor or Feeder Grounding Wire (Belt or Clean-Out)', 'Seal Air Valve', 'Gearbox (Belt and Clean-Out)', 'Feeder Clean-Out Assembly', 'Pulley Bearings - Head, Tail, Tension', 'Feeder Belt Support Pan', 'Feeder Belt Scrapers or Cleaners', 'Lubrication - Oil', 'Motor and Gearbox - Bearing Shaft Seals (Belt or Clean-Out)', 'Feeder Belt Load Cell, if present', 'Motor External Fan & Cover (Belt or Clean-Out)']"
21,Filter_Strainer_1,Filter - Strainer - Mechanical,"['Cover O-Ring or Gasket Seal', 'Cover', 'Mechanical Filter and Strainers, e.g. Metal, Cellulose, and Synthetic Fiber Medias']",21,"['Variable Speed Drive Motor Stator Windings', 'Body', 'Variable Speed Drive Motor Leads and Electrical Connections', 'Variable Speed Drive Motor - Frames, Enclosures, Mounting, Housing', 'Roll Shaft', 'Roll Spider', 'Feeder Hot Air Slot or Plug', 'Variable Speed Drive Motor - Bearing Shaft Seals', 'Variable Speed Drive Motor or Feeder Grounding Wire', 'Variable Speed Drive Motor - Rolling Element', 'Variable Speed Drive Motor Rotor Cast Type', 'Lubrication - Grease', 'Variable Speed Drive Motor Stator Laminations', 'Liner (Housing, Door, Roll End)', 'Variable Speed Drive Motor External Fan & Cover', 'Hinge Leveling Gate Assembly', 'Drive Chain and Sprocket', 'Motor External Fan & Cover (Belt or Clean-Out)']"
