,assetlongdescription_entity_llms,assetlongdescription_entity_llms_left_0,assetlongdescription_entity_llms_right_0,assetlongdescription_entity_llms_left_1,assetlongdescription_entity_llms_right_1,assetlongdescription_entity_llms_left_2,assetlongdescription_entity_llms_right_2
10,"['Bar Code Delivery Sorter', 'Material Handling Asset', 'Jogger table', 'Feeder', 'Transportation Module', 'Reader Elevator Transition Module (RET)', 'WFOV and ICS Readers', 'Computer system with report and label printers', 'Power supplies and distribution', 'Stacker modules', 'The boundary location is not included in the entities as it is not a component of the asset.']","['Feeder', 'WFOV and ICS Readers', 'Bar Code Delivery Sorter', 'Reader Elevator Transition Module (RET)', 'Material Handling Asset', 'Stacker modules', 'Transportation Module', 'Computer system with report and label printers']","['Power supplies and distribution', 'The boundary location is not included in the entities as it is not a component of the asset.', 'Jogger table']","['WFOV and ICS Readers', 'Power supplies and distribution']","['Feeder', 'Transportation Module', 'Material Handling Asset', 'Stacker modules', 'Bar Code Delivery Sorter', 'Jogger table', 'The boundary location is not included in the entities as it is not a component of the asset.', 'Reader Elevator Transition Module (RET)', 'Computer system with report and label printers']","['Transportation Module', 'Material Handling Asset', 'Power supplies and distribution', 'Bar Code Delivery Sorter', 'Reader Elevator Transition Module (RET)', 'Computer system with report and label printers', 'The boundary location is not included in the entities as it is not a component of the asset.', 'Jogger table']","['WFOV and ICS Readers', 'Feeder', 'Stacker modules']"
11,"['Bearing - Rolling Element - Oil', 'Rotating Asset']",['Rotating Asset'],['Bearing - Rolling Element - Oil'],['Rotating Asset'],['Bearing - Rolling Element - Oil'],['Bearing - Rolling Element - Oil'],['Rotating Asset']
12,"['Blower_Positive Displacement_Roots Type', 'Rotating Asset']",['Rotating Asset'],['Blower_Positive Displacement_Roots Type'],['Blower_Positive Displacement_Roots Type'],['Rotating Asset'],['Blower_Positive Displacement_Roots Type'],['Rotating Asset']
13,"['Air Pre-Heater - Vertical Type', 'Air Pre-Heater - Vertical Type', 'Fixed Asset']",['Fixed Asset'],"['Air Pre-Heater - Vertical Type', 'Air Pre-Heater - Vertical Type']",['Fixed Asset'],"['Air Pre-Heater - Vertical Type', 'Air Pre-Heater - Vertical Type']","['Fixed Asset', 'Air Pre-Heater - Vertical Type']",['Air Pre-Heater - Vertical Type']
14,"['Brake - Disc - Air Operated', 'Material Handling Asset', 'Air cylinder', 'Drum', 'Brake shoes or pads', 'Mobile equipment (trucks, earth movers, etc.)', 'Some cranes both mobile and fixed', 'Device upon which the break is mounted', 'Air Supply', 'Controls']","['Drum', 'Brake - Disc - Air Operated', 'Air cylinder', 'Some cranes both mobile and fixed', 'Brake shoes or pads', 'Mobile equipment (trucks, earth movers, etc.)', 'Air Supply']","['Controls', 'Material Handling Asset', 'Device upon which the break is mounted']","['Air Supply', 'Device upon which the break is mounted', 'Brake shoes or pads']","['Material Handling Asset', 'Drum', 'Brake - Disc - Air Operated', 'Air cylinder', 'Mobile equipment (trucks, earth movers, etc.)', 'Controls', 'Some cranes both mobile and fixed']","['Drum', 'Mobile equipment (trucks, earth movers, etc.)', 'Brake shoes or pads', 'Air cylinder', 'Brake - Disc - Air Operated']","['Device upon which the break is mounted', 'Some cranes both mobile and fixed', 'Air Supply', 'Material Handling Asset', 'Controls']"
15,"['Brake - Electro-Mechanical', 'Miscellaneous Asset', 'Coil (AC/DC)', 'Drum or disc', 'Brake shoes or pads', 'Brake frame and hardware', 'Device upon which the break is mounted', 'Power and Control and all contained equipment, e.g. power supply or feed, switchgear, breakers']","['Miscellaneous Asset', 'Drum or disc', 'Brake shoes or pads', 'Coil (AC/DC)', 'Power and Control and all contained equipment, e.g. power supply or feed, switchgear, breakers']","['Brake - Electro-Mechanical', 'Device upon which the break is mounted', 'Brake frame and hardware']",['Brake shoes or pads'],"['Brake - Electro-Mechanical', 'Device upon which the break is mounted', 'Miscellaneous Asset', 'Power and Control and all contained equipment, e.g. power supply or feed, switchgear, breakers', 'Coil (AC/DC)', 'Brake frame and hardware', 'Drum or disc']",['Miscellaneous Asset'],"['Brake frame and hardware', 'Brake - Electro-Mechanical', 'Coil (AC/DC)', 'Power and Control and all contained equipment, e.g. power supply or feed, switchgear, breakers', 'Drum or disc', 'Device upon which the break is mounted', 'Brake shoes or pads']"
16,"['Barge Unloader Ladder Type with Fixed Cantilever Boom', 'Material Handling Asset']",['Material Handling Asset'],['Barge Unloader Ladder Type with Fixed Cantilever Boom'],['Barge Unloader Ladder Type with Fixed Cantilever Boom'],['Material Handling Asset'],['Material Handling Asset'],['Barge Unloader Ladder Type with Fixed Cantilever Boom']
17,"['Coal Handling - Conveyor - Belt Type', 'Material Handling Asset', 'Belt, pulleys, rollers, belt turnovers, scrapers, holdback, sensors, safety devices, fire sensors, spray nozzles, and piping', 'Drive motor, switchgear, fluid drive coupling, gearbox, and other parts of the fire suppression system']","['Drive motor, switchgear, fluid drive coupling, gearbox, and other parts of the fire suppression system', 'Belt, pulleys, rollers, belt turnovers, scrapers, holdback, sensors, safety devices, fire sensors, spray nozzles, and piping']","['Material Handling Asset', 'Coal Handling - Conveyor - Belt Type']",['Coal Handling - Conveyor - Belt Type'],"['Belt, pulleys, rollers, belt turnovers, scrapers, holdback, sensors, safety devices, fire sensors, spray nozzles, and piping', 'Material Handling Asset', 'Drive motor, switchgear, fluid drive coupling, gearbox, and other parts of the fire suppression system']",['Material Handling Asset'],"['Drive motor, switchgear, fluid drive coupling, gearbox, and other parts of the fire suppression system', 'Belt, pulleys, rollers, belt turnovers, scrapers, holdback, sensors, safety devices, fire sensors, spray nozzles, and piping', 'Coal Handling - Conveyor - Belt Type']"
18,"['Material Handling', 'Conveyor', 'Belt Type', 'AC Gear Motor', '600V']","['Conveyor', 'Material Handling', 'AC Gear Motor', '600V']",['Belt Type'],"['600V', 'Material Handling']","['Conveyor', 'Belt Type', 'AC Gear Motor']","['Material Handling', 'Belt Type']","['Conveyor', 'AC Gear Motor', '600V']"
19,"['Material Handling - Conveyor - Belt Type with AC Motor Drive', 'Material Handling Asset']",['Material Handling - Conveyor - Belt Type with AC Motor Drive'],['Material Handling Asset'],['Material Handling - Conveyor - Belt Type with AC Motor Drive'],['Material Handling Asset'],['Material Handling - Conveyor - Belt Type with AC Motor Drive'],['Material Handling Asset']
20,"['Pulverizer Coal Feeder - Belt Type', 'Material Handling Asset', 'Belt(s) and belt splices', 'Pulleys (drive and take-up)', 'Bearings', 'Gearboxes (belt and clean-out)', 'Motor drives (belt and clean-out)', 'Drive couplings (belt and clean-out)', 'Internal wiring', 'Clean-Out assembly', 'Housing and structure', 'Feeder instrumentation (speed, weight - if present, Gravimetric type only)', 'Belt scale components including load cells, if present, Gravimetric type only', 'Table or support pan, leveling bar, scrapers, and skirts', 'Seal air valve', 'Fire Protection Components', 'Pulverizer and its drive', 'Control system', 'Breakers, including power and control wiring', 'Seal air blower', 'Coal pipes', 'Integrator and all aspects concerning coal', 'Clutch (usually replaced by VFD motor drives)']","['Pulverizer Coal Feeder - Belt Type', 'Seal air blower', 'Gearboxes (belt and clean-out)', 'Breakers, including power and control wiring', 'Internal wiring', 'Clean-Out assembly', 'Pulverizer and its drive', 'Seal air valve', 'Feeder instrumentation (speed, weight - if present, Gravimetric type only)', 'Drive couplings (belt and clean-out)', 'Control system', 'Integrator and all aspects concerning coal', 'Belt(s) and belt splices']","['Material Handling Asset', 'Fire Protection Components', 'Motor drives (belt and clean-out)', 'Pulleys (drive and take-up)', 'Housing and structure', 'Table or support pan, leveling bar, scrapers, and skirts', 'Belt scale components including load cells, if present, Gravimetric type only', 'Bearings', 'Coal pipes', 'Clutch (usually replaced by VFD motor drives)']","['Seal air valve', 'Fire Protection Components', 'Pulleys (drive and take-up)', 'Feeder instrumentation (speed, weight - if present, Gravimetric type only)', 'Coal pipes', 'Material Handling Asset', 'Table or support pan, leveling bar, scrapers, and skirts', 'Gearboxes (belt and clean-out)', 'Seal air blower', 'Internal wiring', 'Belt(s) and belt splices', 'Pulverizer and its drive', 'Clutch (usually replaced by VFD motor drives)', 'Belt scale components including load cells, if present, Gravimetric type only', 'Bearings', 'Integrator and all aspects concerning coal', 'Motor drives (belt and clean-out)', 'Drive couplings (belt and clean-out)', 'Control system', 'Housing and structure', 'Pulverizer Coal Feeder - Belt Type', 'Clean-Out assembly']","['Breakers, including power and control wiring']","['Pulverizer and its drive', 'Feeder instrumentation (speed, weight - if present, Gravimetric type only)', 'Seal air blower', 'Bearings', 'Motor drives (belt and clean-out)', 'Internal wiring', 'Housing and structure', 'Pulverizer Coal Feeder - Belt Type', 'Pulleys (drive and take-up)', 'Table or support pan, leveling bar, scrapers, and skirts', 'Seal air valve', 'Clutch (usually replaced by VFD motor drives)', 'Gearboxes (belt and clean-out)', 'Control system', 'Belt(s) and belt splices', 'Drive couplings (belt and clean-out)']","['Integrator and all aspects concerning coal', 'Belt scale components including load cells, if present, Gravimetric type only', 'Fire Protection Components', 'Coal pipes', 'Clean-Out assembly', 'Material Handling Asset', 'Breakers, including power and control wiring']"
21,"['Pulverizer Coal Feeder - Volumetric Star or Overshot Roll Feeder', 'Material Handling Asset', 'Body', 'Liners (Housing, Door, Roll End)', 'Roll Spider and Blade Assembly', 'Roll Shaft', 'Feeder Hot Air Slot Plug', 'Bearings (shaft needle type)', 'Access Doors', 'Hinged Leveling Gate or Assembly', 'Chain and Sprocket', 'Variable Speed Drive Motor', 'Pulverizer and its drive', 'Control system', 'Breakers, including power and control wiring', 'Coal pipes', 'From the outlet flange of the coal hopper isolation valve to the outlet flange of the feeder to the pulverizer.', 'This treatment is not appropriate for units in long term reserve shutdown, extended layup, or other similar non-operating conditions.']","['Pulverizer and its drive', 'Feeder Hot Air Slot Plug']","['Breakers, including power and control wiring', 'Bearings (shaft needle type)', 'Roll Shaft', 'Body', 'From the outlet flange of the coal hopper isolation valve to the outlet flange of the feeder to the pulverizer.', 'Roll Spider and Blade Assembly', 'Access Doors', 'Chain and Sprocket', 'This treatment is not appropriate for units in long term reserve shutdown, extended layup, or other similar non-operating conditions.', 'Variable Speed Drive Motor', 'Pulverizer Coal Feeder - Volumetric Star or Overshot Roll Feeder', 'Material Handling Asset', 'Liners (Housing, Door, Roll End)', 'Hinged Leveling Gate or Assembly', 'Coal pipes', 'Control system']","['Liners (Housing, Door, Roll End)']","['Body', 'Breakers, including power and control wiring', 'Hinged Leveling Gate or Assembly', 'Roll Shaft', 'Roll Spider and Blade Assembly', 'Access Doors', 'Pulverizer Coal Feeder - Volumetric Star or Overshot Roll Feeder', 'Coal pipes', 'Pulverizer and its drive', 'Variable Speed Drive Motor', 'This treatment is not appropriate for units in long term reserve shutdown, extended layup, or other similar non-operating conditions.', 'Feeder Hot Air Slot Plug', 'Bearings (shaft needle type)', 'Material Handling Asset', 'Chain and Sprocket', 'From the outlet flange of the coal hopper isolation valve to the outlet flange of the feeder to the pulverizer.', 'Control system']","['This treatment is not appropriate for units in long term reserve shutdown, extended layup, or other similar non-operating conditions.', 'Roll Shaft', 'Access Doors', 'Body']","['Feeder Hot Air Slot Plug', 'Bearings (shaft needle type)', 'Variable Speed Drive Motor', 'Roll Spider and Blade Assembly', 'Pulverizer Coal Feeder - Volumetric Star or Overshot Roll Feeder', 'Hinged Leveling Gate or Assembly', 'Breakers, including power and control wiring', 'Pulverizer and its drive', 'Chain and Sprocket', 'Material Handling Asset', 'Coal pipes', 'Control system', 'Liners (Housing, Door, Roll End)', 'From the outlet flange of the coal hopper isolation valve to the outlet flange of the feeder to the pulverizer.']"
22,"['Material Handling', 'Conveyor', 'Rollers', 'Frame', 'Positioning and Speed Sensors', 'Wiring and controls associated with the powered rollers and sensing devices', 'Main power source', 'Cables', 'Connection', 'Control and disconnect devices']","['Wiring and controls associated with the powered rollers and sensing devices', 'Positioning and Speed Sensors', 'Material Handling', 'Connection', 'Frame', 'Control and disconnect devices', 'Cables', 'Rollers', 'Main power source']",['Conveyor'],"['Conveyor', 'Positioning and Speed Sensors', 'Control and disconnect devices', 'Rollers', 'Main power source', 'Frame']","['Connection', 'Cables', 'Material Handling', 'Wiring and controls associated with the powered rollers and sensing devices']","['Positioning and Speed Sensors', 'Conveyor', 'Wiring and controls associated with the powered rollers and sensing devices', 'Control and disconnect devices']","['Frame', 'Connection', 'Material Handling', 'Cables', 'Main power source', 'Rollers']"
23,"['Material Handling', 'Conveyor', 'Screw Type', 'AC Gear Motor', '3 phase, 600V Class Gear Motor', 'TEFC or TE', 'Constant speed', 'Integral with no coupling', 'Trough, stiffeners, and guard, Screw, shaft, seals, and bearings, Structure and Drive Base, Drive Gear Motor, Drive sprockets, chain, and guards, Sensors and safety devices (emergency stop)', 'Conveyor external product feed, Fire sensors, spray nozzles, and other parts of the fire suppression system (if present), Power feed and switchgear']","['Screw Type', 'Trough, stiffeners, and guard, Screw, shaft, seals, and bearings, Structure and Drive Base, Drive Gear Motor, Drive sprockets, chain, and guards, Sensors and safety devices (emergency stop)', '3 phase, 600V Class Gear Motor', 'Conveyor']","['TEFC or TE', 'AC Gear Motor', 'Conveyor external product feed, Fire sensors, spray nozzles, and other parts of the fire suppression system (if present), Power feed and switchgear', 'Constant speed', 'Integral with no coupling', 'Material Handling']","['Trough, stiffeners, and guard, Screw, shaft, seals, and bearings, Structure and Drive Base, Drive Gear Motor, Drive sprockets, chain, and guards, Sensors and safety devices (emergency stop)', '3 phase, 600V Class Gear Motor', 'Constant speed', 'Integral with no coupling', 'Conveyor', 'Material Handling']","['Screw Type', 'TEFC or TE', 'AC Gear Motor', 'Conveyor external product feed, Fire sensors, spray nozzles, and other parts of the fire suppression system (if present), Power feed and switchgear']",['Constant speed'],"['Trough, stiffeners, and guard, Screw, shaft, seals, and bearings, Structure and Drive Base, Drive Gear Motor, Drive sprockets, chain, and guards, Sensors and safety devices (emergency stop)', 'Screw Type', 'Conveyor', 'AC Gear Motor', 'Integral with no coupling', 'Conveyor external product feed, Fire sensors, spray nozzles, and other parts of the fire suppression system (if present), Power feed and switchgear', 'TEFC or TE', 'Material Handling', '3 phase, 600V Class Gear Motor']"
24,"['Conveyor - Bucket Vertical Type with Drive Motor', 'Material Handling Asset', 'Power to the drive motor']","['Conveyor - Bucket Vertical Type with Drive Motor', 'Material Handling Asset']",['Power to the drive motor'],"['Material Handling Asset', 'Power to the drive motor']",['Conveyor - Bucket Vertical Type with Drive Motor'],"['Conveyor - Bucket Vertical Type with Drive Motor', 'Material Handling Asset']",['Power to the drive motor']
25,"['Coal Handling - Vibrating Feeder', 'Material Handling Asset', 'Motor', 'VF Wheels (counterweights)', 'Springs', 'Feeder bed plates', 'Feeder diverter plates', 'Upper and lower boots', 'Support and safety cables', 'The entities are extracted based on the long description and the boundary location provided. The entities are the components of the equipment and the asset type.']",['Material Handling Asset'],"['VF Wheels (counterweights)', 'Feeder diverter plates', 'Support and safety cables', 'Feeder bed plates', 'Upper and lower boots', 'Springs', 'The entities are extracted based on the long description and the boundary location provided. The entities are the components of the equipment and the asset type.', 'Motor', 'Coal Handling - Vibrating Feeder']","['Motor', 'Upper and lower boots', 'Coal Handling - Vibrating Feeder', 'Springs', 'The entities are extracted based on the long description and the boundary location provided. The entities are the components of the equipment and the asset type.', 'Feeder bed plates']","['Support and safety cables', 'VF Wheels (counterweights)', 'Feeder diverter plates', 'Material Handling Asset']","['The entities are extracted based on the long description and the boundary location provided. The entities are the components of the equipment and the asset type.', 'Motor']","['Support and safety cables', 'VF Wheels (counterweights)', 'Feeder diverter plates', 'Springs', 'Material Handling Asset', 'Feeder bed plates', 'Coal Handling - Vibrating Feeder', 'Upper and lower boots']"
