,failurelocation_original,failurelocation_original_left_0,failurelocation_original_right_0,failurelocation_original_left_1,failurelocation_original_right_1,failurelocation_original_left_2,failurelocation_original_right_2
323,"{'Elastomer', 'Feedback Sensor - LVDT, if present', 'Instrument Indicating Gauges', 'Wiring, connections, and terminals', 'Pneumatic Relay', 'Printed Circuit Logic Boards', 'Pneumatic Connections', 'Internal I/P Transducer', 'Cams, if present', 'Feedback Sensor - Potentiometer, if present', 'Supply Air Line Filter (Internal or External)', 'Packing or Steam Leak', 'Linkage, if present', 'Fasteners', 'Instrument Indicating Gauges or Readouts', 'Feedback Sensor - Hall Effect (e.g. Non-Contact or Magnetic), if present'}","['Fasteners', 'Pneumatic Connections', 'Internal I/P Transducer', 'Linkage, if present', 'Supply Air Line Filter (Internal or External)', 'Instrument Indicating Gauges or Readouts', 'Cams, if present', 'Elastomer', 'Feedback Sensor - Hall Effect (e.g. Non-Contact or Magnetic), if present', 'Printed Circuit Logic Boards', 'Feedback Sensor - LVDT, if present', 'Instrument Indicating Gauges', 'Pneumatic Relay', 'Wiring, connections, and terminals']","['Feedback Sensor - Potentiometer, if present', 'Packing or Steam Leak']","['Feedback Sensor - Potentiometer, if present', 'Cams, if present', 'Pneumatic Relay']","['Linkage, if present', 'Fasteners', 'Elastomer', 'Pneumatic Connections', 'Supply Air Line Filter (Internal or External)', 'Instrument Indicating Gauges or Readouts', 'Feedback Sensor - LVDT, if present', 'Packing or Steam Leak', 'Internal I/P Transducer', 'Feedback Sensor - Hall Effect (e.g. Non-Contact or Magnetic), if present', 'Instrument Indicating Gauges', 'Wiring, connections, and terminals', 'Printed Circuit Logic Boards']","['Supply Air Line Filter (Internal or External)', 'Elastomer', 'Feedback Sensor - LVDT, if present', 'Feedback Sensor - Potentiometer, if present', 'Linkage, if present', 'Instrument Indicating Gauges or Readouts', 'Wiring, connections, and terminals', 'Instrument Indicating Gauges', 'Packing or Steam Leak', 'Fasteners', 'Pneumatic Connections', 'Pneumatic Relay']","['Feedback Sensor - Hall Effect (e.g. Non-Contact or Magnetic), if present', 'Cams, if present', 'Internal I/P Transducer', 'Printed Circuit Logic Boards']"
324,"{'Position Indicator - Cam', 'Mechanical linkage, if present', 'Terminal Board', 'Elastomers (Cover Gasket, O-rings)', 'Housing', 'Readout or Display', 'Position Indicator - Limit Switch', 'Transmitter Electronics, if present', 'Internal wiring and connections'}",['Terminal Board'],"['Internal wiring and connections', 'Mechanical linkage, if present', 'Elastomers (Cover Gasket, O-rings)', 'Readout or Display', 'Position Indicator - Limit Switch', 'Housing', 'Transmitter Electronics, if present', 'Position Indicator - Cam']",['Terminal Board'],"['Transmitter Electronics, if present', 'Readout or Display', 'Elastomers (Cover Gasket, O-rings)', 'Mechanical linkage, if present', 'Housing', 'Position Indicator - Limit Switch', 'Position Indicator - Cam', 'Internal wiring and connections']","['Position Indicator - Limit Switch', 'Elastomers (Cover Gasket, O-rings)', 'Position Indicator - Cam', 'Terminal Board', 'Housing', 'Mechanical linkage, if present']","['Internal wiring and connections', 'Readout or Display', 'Transmitter Electronics, if present']"
325,"{'Elastomer', 'Internal air filter', 'Regulator', 'Pneumatic connections'}","['Elastomer', 'Pneumatic connections']","['Internal air filter', 'Regulator']","['Pneumatic connections', 'Elastomer', 'Regulator']",['Internal air filter'],"['Regulator', 'Pneumatic connections', 'Elastomer']",['Internal air filter']
326,"{'Proximity Probes', 'Instrumentation', 'Housing, if present', 'Cabling and Connections'}","['Cabling and Connections', 'Housing, if present']","['Proximity Probes', 'Instrumentation']",['Cabling and Connections'],"['Instrumentation', 'Proximity Probes', 'Housing, if present']",['Cabling and Connections'],"['Housing, if present', 'Proximity Probes', 'Instrumentation']"
327,"{'Sensor, Capacitance cell.', 'Internal Power Supply', 'Transmitter Electronics', 'Sensor, e.g. Capacitance cell, Bourdon tube, Piezo electric, Strain gauge.', 'Internal wiring and connections', 'External junction box wiring and connections', 'Sensing lines and associated components, e.g. condensate pot, sealed reference legs, bellows, manifold, root valves and isolation valves.'}","['Sensor, Capacitance cell.', 'Sensing lines and associated components, e.g. condensate pot, sealed reference legs, bellows, manifold, root valves and isolation valves.']","['External junction box wiring and connections', 'Transmitter Electronics', 'Internal wiring and connections', 'Internal Power Supply', 'Sensor, e.g. Capacitance cell, Bourdon tube, Piezo electric, Strain gauge.']","['Transmitter Electronics', 'Internal Power Supply', 'Sensing lines and associated components, e.g. condensate pot, sealed reference legs, bellows, manifold, root valves and isolation valves.', 'Sensor, Capacitance cell.']","['External junction box wiring and connections', 'Internal wiring and connections', 'Sensor, e.g. Capacitance cell, Bourdon tube, Piezo electric, Strain gauge.']","['Sensor, e.g. Capacitance cell, Bourdon tube, Piezo electric, Strain gauge.', 'External junction box wiring and connections', 'Internal Power Supply', 'Internal wiring and connections']","['Sensing lines and associated components, e.g. condensate pot, sealed reference legs, bellows, manifold, root valves and isolation valves.', 'Sensor, Capacitance cell.', 'Transmitter Electronics']"
328,"{'Elastomers (diaphragms, gaskets, and O-rings)', 'Weather proof cover', 'Sensing device (Bourdon tube)', 'Mechanical linkage (Bourdon tube)', 'Mechanical linkage', 'Mercury switch', 'Sensing line and tube fittings', 'Sensing device (dp Diaphragm) and/or linkage', 'Inline process snubber', 'Sensing device (Diaphragm)', 'Sensing device', 'Mechanical linkage (DPIS meter movement)', 'Diaphragm pressure boundary', 'Sensing device (Bellows)', 'Micro switch', 'Electrical switch', 'Sensing device (dp Bellows)'}","['Diaphragm pressure boundary', 'Micro switch', 'Mechanical linkage', 'Sensing device (Diaphragm)', 'Inline process snubber', 'Sensing device (Bellows)', 'Sensing device (dp Bellows)', 'Sensing device', 'Sensing line and tube fittings', 'Sensing device (Bourdon tube)', 'Weather proof cover', 'Sensing device (dp Diaphragm) and/or linkage', 'Mechanical linkage (DPIS meter movement)', 'Mercury switch', 'Elastomers (diaphragms, gaskets, and O-rings)', 'Mechanical linkage (Bourdon tube)']",['Electrical switch'],"['Sensing device (Diaphragm)', 'Weather proof cover', 'Micro switch', 'Mechanical linkage', 'Electrical switch', 'Mechanical linkage (Bourdon tube)', 'Sensing device (Bellows)', 'Sensing device (dp Diaphragm) and/or linkage', 'Mechanical linkage (DPIS meter movement)', 'Sensing device (dp Bellows)', 'Sensing device (Bourdon tube)', 'Elastomers (diaphragms, gaskets, and O-rings)', 'Sensing device', 'Sensing line and tube fittings', 'Mercury switch']","['Inline process snubber', 'Diaphragm pressure boundary']","['Sensing device (dp Diaphragm) and/or linkage', 'Sensing device', 'Sensing device (Bellows)', 'Mechanical linkage (DPIS meter movement)']","['Diaphragm pressure boundary', 'Weather proof cover', 'Inline process snubber', 'Sensing device (Diaphragm)', 'Micro switch', 'Sensing device (Bourdon tube)', 'Electrical switch', 'Mercury switch', 'Mechanical linkage', 'Sensing line and tube fittings', 'Mechanical linkage (Bourdon tube)', 'Elastomers (diaphragms, gaskets, and O-rings)', 'Sensing device (dp Bellows)']"
329,"{'Cooling fan, if present', 'Regulation Circuit', 'Bridge or Rectifier Circuit', 'Printed Circuit Board', 'Terminal strips and board connectors', 'Electrolytic Capacitors', 'Transformer', 'Fuse', 'Power Supply Electronics'}","['Printed Circuit Board', 'Fuse', 'Bridge or Rectifier Circuit', 'Power Supply Electronics', 'Terminal strips and board connectors', 'Electrolytic Capacitors', 'Transformer', 'Cooling fan, if present']",['Regulation Circuit'],"['Fuse', 'Regulation Circuit', 'Bridge or Rectifier Circuit', 'Cooling fan, if present']","['Terminal strips and board connectors', 'Printed Circuit Board', 'Power Supply Electronics', 'Electrolytic Capacitors', 'Transformer']","['Regulation Circuit', 'Printed Circuit Board', 'Electrolytic Capacitors']","['Cooling fan, if present', 'Transformer', 'Power Supply Electronics', 'Terminal strips and board connectors', 'Fuse', 'Bridge or Rectifier Circuit']"
330,"{'Regulation Circuit', 'Bridge or Rectifier Circuit', 'Terminal strips and board connectors', 'Printed Circuit Boards', 'Electrolytic Capacitors', 'Transformer', 'Fuse', 'Power Supply Electronics'}","['Printed Circuit Boards', 'Regulation Circuit', 'Terminal strips and board connectors', 'Bridge or Rectifier Circuit', 'Transformer']","['Fuse', 'Electrolytic Capacitors', 'Power Supply Electronics']",['Electrolytic Capacitors'],"['Power Supply Electronics', 'Fuse', 'Terminal strips and board connectors', 'Printed Circuit Boards', 'Regulation Circuit', 'Bridge or Rectifier Circuit', 'Transformer']","['Electrolytic Capacitors', 'Terminal strips and board connectors', 'Power Supply Electronics', 'Transformer', 'Bridge or Rectifier Circuit', 'Fuse']","['Regulation Circuit', 'Printed Circuit Boards']"
331,"{'Regulation Circuit', 'Cooling Fan', 'Bridge or Rectifier Circuit', 'Terminal strips and board connectors', 'Printed Circuit Boards', 'Electrolytic Capacitors', 'Transformer', 'Fuse', 'Power Supply Electronics', 'Cooling Fan Filter, if present'}","['Cooling Fan Filter, if present', 'Printed Circuit Boards']","['Bridge or Rectifier Circuit', 'Cooling Fan', 'Power Supply Electronics', 'Terminal strips and board connectors', 'Transformer', 'Fuse', 'Electrolytic Capacitors', 'Regulation Circuit']","['Cooling Fan', 'Cooling Fan Filter, if present', 'Bridge or Rectifier Circuit', 'Printed Circuit Boards', 'Electrolytic Capacitors', 'Transformer', 'Regulation Circuit', 'Terminal strips and board connectors', 'Power Supply Electronics']",['Fuse'],"['Cooling Fan', 'Fuse', 'Cooling Fan Filter, if present', 'Power Supply Electronics', 'Electrolytic Capacitors', 'Terminal strips and board connectors', 'Transformer']","['Bridge or Rectifier Circuit', 'Regulation Circuit', 'Printed Circuit Boards']"
332,"{'Resolver', 'Wiring'}",['Wiring'],['Resolver'],['Wiring'],['Resolver'],['Resolver'],['Wiring']
333,"{'Internal wiring and connections', 'Internal Power Supply', 'Wiring and connections', 'Plug-in Relay', 'Printed Circuit Board', 'Triaxial cable', 'Electrolytic Capacitors', 'Terminal strips and board connectors', 'Plug-in Relay - DC Coil', 'Analog Electronic Component'}","['Terminal strips and board connectors', 'Plug-in Relay - DC Coil', 'Electrolytic Capacitors', 'Internal Power Supply', 'Analog Electronic Component', 'Internal wiring and connections', 'Wiring and connections']","['Plug-in Relay', 'Printed Circuit Board', 'Triaxial cable']","['Electrolytic Capacitors', 'Terminal strips and board connectors', 'Plug-in Relay - DC Coil', 'Internal Power Supply', 'Internal wiring and connections']","['Printed Circuit Board', 'Wiring and connections', 'Plug-in Relay', 'Analog Electronic Component', 'Triaxial cable']","['Wiring and connections', 'Triaxial cable', 'Plug-in Relay', 'Internal Power Supply']","['Terminal strips and board connectors', 'Internal wiring and connections', 'Plug-in Relay - DC Coil', 'Printed Circuit Board', 'Analog Electronic Component', 'Electrolytic Capacitors']"
334,"{'Instrument Readout', 'Instrumentation (electronics)', 'Housing', 'Internal wiring and connections', 'External junction box wiring and connections', 'Speed Pick-up Probes'}",['Internal wiring and connections'],"['Speed Pick-up Probes', 'External junction box wiring and connections', 'Housing', 'Instrument Readout', 'Instrumentation (electronics)']","['Instrument Readout', 'Housing', 'Instrumentation (electronics)']","['Speed Pick-up Probes', 'External junction box wiring and connections', 'Internal wiring and connections']","['Internal wiring and connections', 'Instrumentation (electronics)']","['Housing', 'Instrument Readout', 'External junction box wiring and connections', 'Speed Pick-up Probes']"
335,"{'Limit Switch', 'Actuator arm', 'Wiring'}","['Wiring', 'Limit Switch']",['Actuator arm'],"['Wiring', 'Actuator arm']",['Limit Switch'],"['Limit Switch', 'Actuator arm']",['Wiring']
336,"{'Thermowell', 'Internal Power Supply', 'Sensing lines and associated components, e.g. condensate pot, sealed reference legs, bellows, manifold, root and isolation valves', 'Mechanical linkage, if present', 'Transmitter Electronics', 'Housing', 'Elastomers', 'Sensor, e.g. pH probe, wet bulb, capacitance cell, Bourdon tube, Piezo electric, strain gauge', 'Micro switch', 'Internal wiring and connections', 'External junction box wiring and connections', 'Instrument Indicating Gauges or Readouts'}","['Internal wiring and connections', 'Elastomers', 'Sensor, e.g. pH probe, wet bulb, capacitance cell, Bourdon tube, Piezo electric, strain gauge', 'Housing', 'Micro switch']","['Mechanical linkage, if present', 'Sensing lines and associated components, e.g. condensate pot, sealed reference legs, bellows, manifold, root and isolation valves', 'Transmitter Electronics', 'Internal Power Supply', 'Instrument Indicating Gauges or Readouts', 'Thermowell', 'External junction box wiring and connections']","['Housing', 'Elastomers']","['Internal wiring and connections', 'Micro switch', 'Transmitter Electronics', 'Internal Power Supply', 'Sensing lines and associated components, e.g. condensate pot, sealed reference legs, bellows, manifold, root and isolation valves', 'External junction box wiring and connections', 'Sensor, e.g. pH probe, wet bulb, capacitance cell, Bourdon tube, Piezo electric, strain gauge', 'Mechanical linkage, if present', 'Thermowell', 'Instrument Indicating Gauges or Readouts']","['Thermowell', 'Mechanical linkage, if present', 'Internal wiring and connections', 'Sensor, e.g. pH probe, wet bulb, capacitance cell, Bourdon tube, Piezo electric, strain gauge', 'Sensing lines and associated components, e.g. condensate pot, sealed reference legs, bellows, manifold, root and isolation valves', 'Transmitter Electronics']","['Instrument Indicating Gauges or Readouts', 'Housing', 'Internal Power Supply', 'Micro switch', 'External junction box wiring and connections', 'Elastomers']"
337,"{'Mechanical linkage', 'Electrical switch', 'Temperature indicator', 'Sensing device (bulb and capillary)'}",['Electrical switch'],"['Mechanical linkage', 'Sensing device (bulb and capillary)', 'Temperature indicator']","['Electrical switch', 'Temperature indicator']","['Mechanical linkage', 'Sensing device (bulb and capillary)']","['Temperature indicator', 'Electrical switch']","['Sensing device (bulb and capillary)', 'Mechanical linkage']"
338,"{'Thermowell', 'Electromechanical switch', 'Mechanical linkage', 'Electronic circuit', 'Sensing device - Thermistor', 'Sensing device - RTD', 'Electrolytic capacitors', 'Sensing device (Other types)', 'Circuit board', 'Electrical switch', 'Micro switch'}","['Sensing device - Thermistor', 'Thermowell', 'Micro switch', 'Electromechanical switch', 'Electrical switch', 'Electronic circuit', 'Sensing device (Other types)']","['Electrolytic capacitors', 'Circuit board', 'Mechanical linkage', 'Sensing device - RTD']","['Mechanical linkage', 'Micro switch', 'Sensing device - Thermistor', 'Electrolytic capacitors', 'Sensing device (Other types)', 'Thermowell', 'Electronic circuit', 'Electrical switch']","['Circuit board', 'Sensing device - RTD', 'Electromechanical switch']","['Electronic circuit', 'Sensing device - RTD', 'Mechanical linkage', 'Micro switch', 'Sensing device (Other types)', 'Sensing device - Thermistor', 'Electrolytic capacitors', 'Electromechanical switch', 'Thermowell', 'Circuit board']",['Electrical switch']
339,"{'Tension/Sensitivity Spring', 'Contacts', 'Contacts - Leaf Elements', 'Housing', 'View Glass', 'Reset Push Button', 'Tension/Sensitivity Spring Adjustment Assembly', 'Magnet', 'Gasket'}",['Tension/Sensitivity Spring'],"['Contacts - Leaf Elements', 'Reset Push Button', 'View Glass', 'Gasket', 'Magnet', 'Contacts', 'Tension/Sensitivity Spring Adjustment Assembly', 'Housing']","['Tension/Sensitivity Spring Adjustment Assembly', 'Tension/Sensitivity Spring', 'Gasket', 'Contacts - Leaf Elements', 'View Glass', 'Housing']","['Reset Push Button', 'Magnet', 'Contacts']","['Magnet', 'Contacts - Leaf Elements', 'Housing', 'Tension/Sensitivity Spring Adjustment Assembly']","['Tension/Sensitivity Spring', 'View Glass', 'Reset Push Button', 'Gasket', 'Contacts']"
340,"{'Pneumatics, e.g. orifices, nozzles, spools, relays', 'Elastomers', 'Other internal components', 'E-P/I-P Transducers', 'Wiring, terminals, and connections'}","['Elastomers', 'E-P/I-P Transducers', 'Other internal components', 'Pneumatics, e.g. orifices, nozzles, spools, relays']","['Wiring, terminals, and connections']","['Pneumatics, e.g. orifices, nozzles, spools, relays', 'E-P/I-P Transducers']","['Wiring, terminals, and connections', 'Elastomers', 'Other internal components']",['E-P/I-P Transducers'],"['Elastomers', 'Wiring, terminals, and connections', 'Pneumatics, e.g. orifices, nozzles, spools, relays', 'Other internal components']"
341,"{'Structure', 'Hose or Tubing Insulation', 'Insulators', 'Refractory', 'Hose or Tubing', 'Protective or Insulating Paint', 'Teflon and Mica Insulation', 'Wiring Harness', 'Hose Clamps', 'Protective Silicone Based Coating (Sylgard)', 'Cooling Coils (Water)', 'Fasteners', 'Induction Coils'}","['Structure', 'Refractory', 'Protective or Insulating Paint', 'Wiring Harness', 'Teflon and Mica Insulation', 'Hose or Tubing', 'Cooling Coils (Water)', 'Protective Silicone Based Coating (Sylgard)', 'Induction Coils', 'Insulators', 'Fasteners']","['Hose Clamps', 'Hose or Tubing Insulation']","['Insulators', 'Structure', 'Induction Coils', 'Hose Clamps', 'Refractory', 'Wiring Harness', 'Hose or Tubing', 'Protective Silicone Based Coating (Sylgard)']","['Fasteners', 'Teflon and Mica Insulation', 'Hose or Tubing Insulation', 'Cooling Coils (Water)', 'Protective or Insulating Paint']","['Cooling Coils (Water)', 'Refractory']","['Hose Clamps', 'Hose or Tubing Insulation', 'Induction Coils', 'Hose or Tubing', 'Fasteners', 'Insulators', 'Structure', 'Teflon and Mica Insulation', 'Protective or Insulating Paint', 'Protective Silicone Based Coating (Sylgard)', 'Wiring Harness']"
342,"{'Jack Body and Base', 'Screw Elements'}",['Screw Elements'],['Jack Body and Base'],['Jack Body and Base'],['Screw Elements'],['Jack Body and Base'],['Screw Elements']
343,"{'Animal guard', 'Semiconducting Stack', 'Connection - primary', 'Connection - ground', 'Porcelain'}","['Connection - primary', 'Semiconducting Stack']","['Porcelain', 'Animal guard', 'Connection - ground']","['Porcelain', 'Semiconducting Stack']","['Connection - ground', 'Connection - primary', 'Animal guard']","['Semiconducting Stack', 'Connection - ground']","['Connection - primary', 'Porcelain', 'Animal guard']"
344,"{'Bolted Fasteners', 'Liner (Ceramic)', 'Liner (Stainless or Ceramic)', 'Liner (Stainless)'}","['Liner (Stainless)', 'Liner (Stainless or Ceramic)']","['Bolted Fasteners', 'Liner (Ceramic)']","['Bolted Fasteners', 'Liner (Ceramic)']","['Liner (Stainless)', 'Liner (Stainless or Ceramic)']","['Liner (Stainless)', 'Bolted Fasteners', 'Liner (Ceramic)']",['Liner (Stainless or Ceramic)']
345,{'Linkage'},,,,,,
346,"{'Pressure Relief Valve', 'Contacts', 'Limit or Reversing Switch Contact', 'Control - Selsen switch', 'Control - Analog or Electronic type', 'Oil Filter, if present', 'Operations Counter', 'Control - Microprocessor type', 'Oil (mineral)', 'Pipes, Tubing, Fittings, Gaskets, and Valves', 'Separator or Switch Board', 'Oil Level Alarms', 'LTC Tank', 'Internal wiring', 'Motor Operator', 'Hardware or Fasteners', 'LTC Tank Breather', 'Control - Relay - Balance Beam type', 'Position Indicator or Drag hand', 'Shorting Resistors or Reactors', 'Electrical Connections'}","['Contacts', 'Oil Filter, if present', 'Shorting Resistors or Reactors', 'Oil (mineral)', 'Pressure Relief Valve']","['LTC Tank', 'Internal wiring', 'Limit or Reversing Switch Contact', 'Hardware or Fasteners', 'Operations Counter', 'Motor Operator', 'LTC Tank Breather', 'Control - Analog or Electronic type', 'Pipes, Tubing, Fittings, Gaskets, and Valves', 'Control - Selsen switch', 'Oil Level Alarms', 'Position Indicator or Drag hand', 'Control - Microprocessor type', 'Control - Relay - Balance Beam type', 'Electrical Connections', 'Separator or Switch Board']","['Motor Operator', 'Internal wiring', 'Control - Analog or Electronic type', 'Contacts', 'Oil Level Alarms', 'Oil Filter, if present', 'Pressure Relief Valve', 'Control - Microprocessor type', 'LTC Tank Breather', 'LTC Tank', 'Electrical Connections', 'Separator or Switch Board', 'Pipes, Tubing, Fittings, Gaskets, and Valves', 'Control - Relay - Balance Beam type', 'Hardware or Fasteners', 'Position Indicator or Drag hand', 'Control - Selsen switch', 'Shorting Resistors or Reactors']","['Limit or Reversing Switch Contact', 'Oil (mineral)', 'Operations Counter']","['LTC Tank', 'Electrical Connections', 'Separator or Switch Board', 'Shorting Resistors or Reactors', 'Hardware or Fasteners', 'Contacts', 'Oil Filter, if present', 'Control - Relay - Balance Beam type', 'LTC Tank Breather']","['Position Indicator or Drag hand', 'Control - Microprocessor type', 'Internal wiring', 'Control - Selsen switch', 'Control - Analog or Electronic type', 'Motor Operator', 'Pressure Relief Valve', 'Oil (mineral)', 'Operations Counter', 'Oil Level Alarms', 'Limit or Reversing Switch Contact', 'Pipes, Tubing, Fittings, Gaskets, and Valves']"
347,"{'Pressure Relief Valve', 'Limit or Reversing Switch Contact', 'Vacuum Bottle Pressure Sensor\n\n Pressure Sensor', 'Control - Selsen switch', 'Control - Analog or Electronic type', 'Vacuum Bottle', 'Oil Filter, if present', 'Operations Counter', 'Control - Microprocessor type', 'Interrupter - Contacts', 'Oil (mineral)', 'Pipes, Tubing, Fittings, Gaskets, and Valves', 'Separator or Switch Board', 'Oil Level Alarms', 'LTC Tank', 'Internal wiring', 'Motor Operator', 'Hardware or Fasteners', 'LTC Tank Breather', 'Control - Relay - Balance Beam type', 'Position Indicator or Drag hand', 'Shorting Resistors or Reactors', 'Electrical Connections'}","['Shorting Resistors or Reactors', 'Control - Analog or Electronic type', 'Position Indicator or Drag hand', 'Interrupter - Contacts', 'Motor Operator', 'Hardware or Fasteners', 'LTC Tank', 'Control - Relay - Balance Beam type', 'Pipes, Tubing, Fittings, Gaskets, and Valves', 'Oil Level Alarms', 'Electrical Connections', 'Pressure Relief Valve', 'Limit or Reversing Switch Contact', 'Vacuum Bottle', 'LTC Tank Breather', 'Separator or Switch Board']","['Oil (mineral)', 'Internal wiring', 'Control - Microprocessor type', 'Control - Selsen switch', 'Oil Filter, if present', 'Operations Counter', 'Vacuum Bottle Pressure Sensor\n\n Pressure Sensor']","['Separator or Switch Board', 'Oil Level Alarms', 'Interrupter - Contacts', 'Shorting Resistors or Reactors', 'Hardware or Fasteners', 'Pressure Relief Valve', 'Vacuum Bottle', 'Control - Analog or Electronic type', 'Position Indicator or Drag hand', 'Pipes, Tubing, Fittings, Gaskets, and Valves', 'LTC Tank']","['Control - Microprocessor type', 'Control - Relay - Balance Beam type', 'Internal wiring', 'Electrical Connections', 'Operations Counter', 'Oil Filter, if present', 'Vacuum Bottle Pressure Sensor\n\n Pressure Sensor', 'Motor Operator', 'LTC Tank Breather', 'Limit or Reversing Switch Contact', 'Oil (mineral)', 'Control - Selsen switch']","['LTC Tank', 'Pressure Relief Valve', 'Position Indicator or Drag hand', 'Control - Microprocessor type', 'Internal wiring', 'Control - Selsen switch', 'Pipes, Tubing, Fittings, Gaskets, and Valves', 'Limit or Reversing Switch Contact', 'Hardware or Fasteners', 'Oil Level Alarms']","['Shorting Resistors or Reactors', 'Oil (mineral)', 'Separator or Switch Board', 'LTC Tank Breather', 'Vacuum Bottle Pressure Sensor\n\n Pressure Sensor', 'Motor Operator', 'Interrupter - Contacts', 'Electrical Connections', 'Operations Counter', 'Control - Relay - Balance Beam type', 'Control - Analog or Electronic type', 'Oil Filter, if present', 'Vacuum Bottle']"
