TypeData.CompTypeID,TypeData.GenCompType,failure_locations
BATT_NICAD_1,Battery - NICAD,"['Inter Cell and Inter Tier Connectors and Hardware and Battery Cable Connectors', 'Rack', 'Posts', 'Jar & Lid', 'Vent or Flame Arrestor', 'Electrolyte', 'Plates']"
BATT_Plante,Battery - Flooded Lead Acid - Plante,"['Posts and Straps', 'Rack', 'Posts', 'Jar and Lid', 'Separators & Retainers', 'Lid', 'Vent or Flame Arrestor', 'Jar', 'Electrolyte', 'InterCell and InterTier Connectors and Hardware and Battery Cable Connectors', 'Plates']"
BATT_VRLA,Battery - Valve Regulated Lead Acid,"['Posts and Straps', 'Cabinet or Rack', 'Posts', 'Jar & Lid', 'Pressure Relief Valve', 'Electrolyte', 'Inter Cell and Inter Tier Connectors & Hardware & Battery Cable Connectors', 'Plates']"
BATT_VRLA_NonGel_V0,Battery - VRLA - Non-Gel Type,"['Battery - Pressure Relief Valve', 'Battery - Inter Cell and Inter Tier Connectors & Hardware & Battery Cable Connectors', 'Battery - Group Bar (Collector)', 'Connections to Battery Charger and Primary Distribution', 'Battery - Posts', 'Battery - Plates', 'Battery - Cabinet or Rack', 'Battery - Case']"
BCS_Letter_1,Bar Code Delivery Sorter,"['Wide Field of View Assembly - Computer', 'Feeder Staging Belt Servo Motor Cables and Connectors', 'Feeder Staging Belt Tension Sprocket', 'Pulleys - Flanged (Timing)', 'Stacker Diverter Plate Cover Assembly (Wimpy Panel and Interlocks)', 'Pusher Assembly (Stacker)', 'Mode Indicators', 'Jogger Vibration Control Assembly', 'Pulleys - Driven', 'Reader & Stacker Diverter Gate Assembly', 'Receptacle Box (Transport Module)', 'Jogger Motor', 'Fuses (Reader and Stacker Modules)', 'Gate Driver Boards', 'Card Cage Fan\n\n(Transport and Reader Module)', 'Pulleys - Idler', 'Feeder Tach', 'ICS Reader (Read Head and Electronics Enclosure)', 'Power Factor Correction Capacitor Bank', 'Jogger Power Cable and Connector', 'Label Printers (Stacker Modules)', 'Reader Control Relays', 'Feeder Jam Release Slide Assembly', 'Auger Belts O-Ring (Stacker)', 'Wide Field of View Assembly - Read Head', 'Pressure Sensing Assembly Prox Switches', 'Mechanical Roller & Bearing Assemblies', 'Jogger Motor Pulley', 'Feeder Module Transport and Drive Belts', 'Feeder Paddle Pressure Sensor (Fiberoptic)', 'LI1 Photocell (Jam Detection)', 'Main Power Distribution Unit', 'Feeder Take-Away Pressure Roller Assemblies', 'Label Printers (Stacker Module)', 'Reader Diverter Back Plane Driver Assembly (P-P-WMMB-3), shown in elevator module', 'Feeder Paddle Pawl Assembly', 'Circuit Card Assemblies (P-MCU xx, P-DRM 11, P-DRM 20, P-PDI 02, P-BAB 1, P-MIO96, P-TIF03, P-IJP-02)', 'RET Module Transport and Drive Belts', 'E-Stops and Interlocks', 'Jogger Pillow Block Bearings and Shaft', 'Operator Panel Assembly Switches (Pwr On/Off)', 'E-Stops', 'Jogger Vibration Control Cable Assembly', 'Feeder Paddle Pressure Sensor Controller (Fiberoptic)', 'Feeder Pressure Lever Assemblies', 'Feeder Paddle Drive Gear Motor Sprocket', 'Feeder Belt Pulleys', 'Auger Assembly (Stacker)', 'Start Warning Horns', 'Feeder Pick Off Belt Servo Motor', 'Feeder A-18 Connector Board', 'Maintenance Key Switch', 'Circuit Breaker Panel Assembly (Feeder Module)', 'Feeder Paddle Tension Chain Sprocket', 'Edging Roller Sensor', 'P-PMB32 Solenoid Driver Back Plane', 'Feeder Letter Present Photo Sensor', 'Circuit Breaker Panel Assembly (Transport & Reader Module)', 'Reader Foam Roller', 'Wiring and Cables (Power and Signals Communications)', 'Pulleys - Drive', 'System Host Computer', 'P-LED10 Circuit Card (Photocell Emitter)', 'Stacker Warning Lamps', 'Feeder (Paddle) Guide Sleeve Assembly', 'Jogger Ground Straps', 'Stacker Module Transport and Drive Belts', 'Stacker LCD Display Panel', 'Operator Panel Assembly (OPA) Indicators', 'Jogger Drive Link', 'Stacker Switch Mount Molded', 'Stacker Fence Support Assembly including Bumper Support Assembly with Low Friction Tape', 'Drive Motor AC (Transport, Stacker & Elevator Module)', 'Filter\n\n(Transport and Reader Module)', 'Jogger Paddle Assembly', 'Pressure Sensing Assembly Prox Switches Lever', 'Feeder Wear Compensation Arm Assembly', 'Feeder Pressure Sensing Lever Assembly', 'Feeder Phenolic Chain Guide', 'Feeder Staging Belt Drive Servo Motor', 'Feeder Staging Belt', 'Feeder Staging Belt Drive Servo Motor Sprocket', 'Door Panel Assembly', 'Feeder Staging Belt Drive Gear Chain', 'Finger Guard Assembly (Stacker)', 'Stacker Lower Front Panel Assembly', 'Feeder Control Board SE-04', 'USB to Serial Converter (Edgeport) Connector (Reader Module)', 'Feeder Paddle Stop Proximity Switch', 'Stacker Volume Switches', 'Feeder (Paddle) Guide Sleeve Assembly Index Bearing', 'Universal Light Barrier (ULB)', 'Feeder Pick Off Belt Servo Motor Cables and Connectors', 'Start Up Warning Lamps', 'Feeder Power Supplies, 5V and 24V', 'Air/Vacuum Tubing', 'Wide Field of View Assembly - Transformer', 'Feeder Paddle Drive Gear Motor', 'PIE Boards (Transport, Elevator, Reader and Transition)', 'Terminal Strips', 'Motor Controller (Allen Bradley)', 'Stacker Manual Motor Starter (Thermal Breaker)', 'Stacker Arm Spring Assembly', 'Feeder Pick Off Belts', 'Stacker Four-Pocket, Pocket Assembly with Teflon Guide Strips', 'Feeder Air Handler Assembly (including motor, pump, filter and regulator)', 'Stacker Back Plane Chassis Assembly P-SBK 11 with PCB (P-STK-11/P-STK-03)', 'Tach Transducers (Reader & Transition Module)', 'Descriptor Bus Terminator (Reader and End Stacker Module)', 'Feeder Paddle Wear Plate', 'P-RBK 11 Back Plane Assembly (Reader Module)', 'Feeder Paddle Drive Gear Chain', 'Jogger Drive Belt', 'Stacker Drive Shaft Assembly', 'Feeder Slide Switch', 'Feeder Stripper Assembly', 'Power Supplies, 24 and 42 VDC', 'Stacker Circuit Card Assemblies (P-PMB 32)', 'P-DZ90 Circuit Card (Photocell)', 'Gate Stop Assembly (Reader and Stacker)']"
Bearing_Rolling_Grease_V0,Bearing - Rolling Element - Grease,"['Grease Fittings (e.g. Zirc type)', 'Bearing Seals', 'Bearing housings', 'Grease', 'Bearings - Rolling Element']"
Bearing_Rolling_Oil_V0,Bearing - Rolling Element - Oil,"['Bearing Seals (contact type)', 'Lubrication - Oil', 'Bearing Seals (non-contact type)', 'Bearing Seals (all types)', 'Bearing housings', 'Bearings - Rolling Element']"
Blower_PD_Roots_V0,Blower_Positive Displacement_Roots Type,"['Base Plate', 'Gears', 'Oil', 'Air Filter - Cartridge type', 'Fasteners', 'Impeller Shafts', 'Headplates', 'Cylinder', 'Oil Thrower', 'Impeller Rotors', 'Bearings - Thrust', 'Disc Springs', 'Oil or Grease Seals', 'Gear Trough (i.e. splash cover)', 'O-Rings', 'Grease', 'Bearings - Roller', 'Gear Case', 'Air Intake Housing', 'Grease release vents', 'Fibre Washers', 'Gaskets', 'Feet and Lifting Lugs', 'Driving Shaft Bearing Cover']"
Boiler_AirPreHeater_Vert_V0,Air Pre-Heater - Vertical Type,"['Drive Motor and Gearbox Couplings', 'Lube Oil Cooling Heat Exchanger (Guide Bearing, Support Bearing, Rotor Drive)', 'Drive Motor - Electric (Main or Auxiliary)', 'Heating Elements (Baskets) - Cold', 'T-Bars', 'Soot Blower', 'Auxiliary Drive Air Compressor, Tank, Air Filter, Oiler, and Solenoid Valve', 'Lube Oil (Guide Bearing, Support Bearing, Rotor Drive)', 'Seal Plates (Hot Radial, Cold Radial, Axial, Sector)', 'Air Pre-Heater Housing', 'Guide Bearing (Rolling Element)', 'Support Bearing Cover Shield', 'Pinion Shaft Seal', 'Guide Bearing Housing', 'Heating Elements (Baskets) - Supports', 'Support Bearing Housing', 'Rotor Assembly (Diaphragm, Stay Plates, Shell, Post, Trunnions)', 'Support Radial Bearing (Rolling Element)', 'Heating Elements (Baskets) - Intermediate, if present', 'Pin Rack', 'Lube Oil Metering Orifice, if present', 'Seals (Axial, Radial, Bypass/Circumferential, Post)', 'Support Bearing (Tilt Pad Type)', 'Support Bearing Air Seal Cover', 'Heating Elements (Baskets) - Hot', 'Drive Pinion Gear', 'Drive Gearbox', 'Auxiliary Drive Air Motor', 'Instrumentation - Pressure and Temperature (Local, DCS, Control Room)', 'Auxiliary Drive Air Compressor, Tank, Filter, Oiler, and Solenoid Valve', 'Support Radial Bearing Stub Shaft', 'Drive Gearbox oil cooler, if present', 'Drive Gearbox Frame', 'Lube Oil System (Guide Bearing, Support Bearing, Rotor Drive)', 'Guide Bearing Air Seal Cover']"
Brake_Disc_Air_Operated_V0,Brake - Disc - Air Operated,"['Air or Pneumatic Cylinder - Support rods and end caps, if present', 'Brake Disc', 'Air or Pneumatic Cylinder, Piston Ring, if present', 'Air Line Connector', 'Air or Pneumatic Cylinder, Piston, and Rod', 'Torque spring', 'Frame', 'Mechanical linkages and brake arms', 'Air or Pneumatic Cylinder', 'Air or Pneumatic Cylinder - Bearings or Bushings, if present', 'Clevis pins, if present', 'Bolting, hardware, and fasteners', 'Brake Pads, or Shoes', 'Air or Pneumatic Cylinder, Piston, and Rod - Seals', 'Air or Pneumatic Cylinder - Hose Connection Ports']"
Brake_ElectroMechanical_V0,Brake - Electro-Mechanical,"['Connector and wiring', 'Clevis pins, if present', 'Brake Linings, Pads, or Shoes', 'Pivot needle bearings', 'Magnetic air gap', 'Holding or Pull-in coil', 'Frame', 'Mechanical linkages and brake arms', 'Torque spring', 'Brake Drum', 'Bolting, hardware, and fasteners']"
BULK_BargeUnloader_LadderwFixedCantileverBoom_V0,	Barge Unloader Ladder Type with Fixed Cantilever Boom,"['Barge Haul System', 'Trolley', 'Fire Suppression', 'Boom', 'Gathering Conveyor', 'Fire suppression', 'Cantilever (Fixed Boom)', 'Breasting System']"
BULK_BargeUnloader_LadderwMovableBoom_V0,Barge Unloader Ladder Type with Movable Boom,"['Boom Hoist', 'Barge Haul System', 'Trolley', 'Fire Suppression', 'Boom', 'Gathering Conveyor', 'Fire suppression', 'Breasting System']"
Bulk_CNVR_1,Coal Handling - Conveyor - Belt Type,"['Fire suppression nozzle(s)', 'Holdback - grease filled', 'Emergency stop pull cord', 'Holdback - oil filled', 'Misalignment switch', 'Pulley bearings', 'Rollers - other', 'Fire suppression piping', 'Rollers - static steering', 'Rollers', 'Speed switch', 'Pulleys', 'Belt', 'Fire sensor', 'Scale, if present', 'Anti-static brush', 'Belt steering device or power trainer, if present', 'Scrapers, if present']"
Bulk_CNVR_Belt_AC_GearMotor_V0,Material Handling - Conveyor - Belt Type with AC Gear Motor Drive,"['Rollers and guides (main belt)', 'Holdback (main belt) - grease filled', 'Steering device or power trainer (main belt), if present', 'Motor external fan & cover', 'Gearbox - gears', 'Holdback (main belt) - oil filled', 'Rollers and guides (main belt) - other', 'Product scale, if present', 'Motor and Gearbox frame, enclosure, mounting, housing, or gear case', 'Scrapers or belt cleaners  (main belt), if present', 'Motor output shaft', 'Motor and Gearbox bearing shaft seals', 'Anti-static brush (main belt)', 'Rollers and guides (main belt) - static steering', 'Drive sprockets', 'Motor stator winding blocking, bracing, wedges, and ties', 'Lubrication - grease', 'Pulley bearings (main belt)', 'Motor stator laminations', 'Misalignment switch (main belt)', 'Motor space heaters, if present', 'Gearbox - gaskets', 'Speed switch (main belt)', 'Motor stator windings', 'Gearbox - oil breather', 'Motor bearings - rolling element (radial only)', 'Conveyor frame, belt skirting, mounting, and cover', 'Motor rotor bars and shorting rings (cast type)', 'Gearbox bearings - rolling element (radial and thrust)', 'Motor leads and electrical connections', 'Main belt', 'Motor or machine grounding wire', 'Drive chain', 'Emergency stop', 'Pulleys (main belt)', 'Lubrication - oil']"
Bulk_CNVR_Belt_AC_MTR_V0,Material Handling - Conveyor - Belt Type with AC Motor Drive,"['Rollers and guides (main belt)', 'Motor shaft', 'Holdback (main belt) - grease filled', 'Steering device or power trainer (main belt), if present', 'Scale, if present', 'Motor external fan & cover', 'Holdback (main belt) - oil filled', 'Motor frame, enclosure, and mounting', 'Rollers and guides (main belt) - other', 'Scrapers or belt cleaners  (main belt), if present', 'Motor bearing shaft seal', 'Drive pulleys and belts', 'Anti-static brush (main belt)', 'Rollers and guides (main belt) - static steering', 'Motor stator winding blocking, bracing, wedges, and ties', 'Pulley bearings (main belt)', 'Motor stator laminations', 'Misalignment switch (main belt)', 'Motor space heaters, if present', 'Speed switch (main belt)', 'Lubrication', 'Motor stator windings', 'Motor endbells or bearing housings', 'Motor bearings - rolling element (radial only)', 'Conveyor frame, belt skirting, mounting, and cover', 'Motor rotor bars and shorting rings (cast type)', 'Motor leads and electrical connections', 'Main belt', 'Motor or machine grounding wire', 'Emergency stop', 'Pulleys (main belt)']"
Bulk_CNVR_PolyRollers_and_Frame_V0,Material Handling - Conveyor - Polyurethane Rollers and Frame,"['Grease Fittings and Supply Tubing', 'Idler Rollers (Polyurethane)', 'Bearing Seals', 'Grease', 'Bearings - Rolling Element', 'Support Frame and Structure']"
Bulk_CNVR_Pulv_Feeder_Belt_V0,Pulverizer Coal Feeder - Belt Type,"['Lubrication - Oil', 'Motor and Gearbox - Bearing Shaft Seals (Belt or Clean-Out)', 'Motor Bearings - Rolling Element (Belt or Clean-Out)', 'Motor Stator Laminations (Belt or Clean-Out)', 'Pulley Bearings - Head, Tail, Tension', 'Speed Switch and Sensor (Belt or Clean-Out)', 'Motor Stator Windings (Belt or Clean-Out)', 'Leveling Bar', 'Gearbox (Belt and Clean-Out)', 'Lubrication - Grease', 'Feeder Belt Load Cell, if present', 'Feeder Clean-Out Assembly', 'Motor Rotor Cast Type (Belt or Clean-Out)', 'Feeder Belt Skirting', 'Feeder Frame and Housing', 'Feeder Belt Scrapers or Cleaners', 'Fire suppression nozzle(s)', 'Gearbox and Motor - Frames, Enclosures, Mounting, Housing, or Gear Case  (Belt or Clean-Out)', 'Feeder Belt Support Pan', 'Feeder Belt', 'Fire sensor', 'Motor Leads and Electrical Connections (Belt or Clean-Out)', 'Motor External Fan & Cover (Belt or Clean-Out)', 'Rollers (Belt or Clean-Out)', 'Motor or Feeder Grounding Wire (Belt or Clean-Out)', 'Motor and Gearbox Couplings (Belt or Clean-Out)', 'Seal Air Valve', 'Internal Wiring and Connections (Load Cell, Speed sensor, Port Lights, etc.)', 'Fire suppression piping', 'Lights']"
Bulk_CNVR_Pulv_Feeder_Vol_Star_V0,Pulverizer Coal Feeder - Volumetric Star or Overshot Roll Feeder,"['Liner (Housing, Door, Roll End)', 'Variable Speed Drive Motor - Frames, Enclosures, Mounting, Housing', 'Lubrication - Grease', 'Feeder Hot Air Slot or Plug', 'Motor External Fan & Cover (Belt or Clean-Out)', 'Variable Speed Drive Motor - Bearing Shaft Seals', 'Variable Speed Drive Motor External Fan & Cover', 'Variable Speed Drive Motor or Feeder Grounding Wire', 'Roll Spider', 'Variable Speed Drive Motor Stator Laminations', 'Drive Chain and Sprocket', 'Variable Speed Drive Motor Leads and Electrical Connections', 'Hinge Leveling Gate Assembly', 'Body', 'Roll Shaft', 'Variable Speed Drive Motor - Rolling Element', 'Variable Speed Drive Motor Rotor Cast Type', 'Variable Speed Drive Motor Stator Windings']"
Bulk_CNVR_Rollers_and_Frame_V0,Material Handling - Conveyor - Rollers and Frame,"['Thrust Rollers', 'Wiring (Powered Rollers and Position Sensors)', 'Roller Positioning and Speed Sensor', 'Powered Rollers', 'Idler Rollers', 'Support Frame and Structure']"
Bulk_CNVR_Screw_AC_GearMotor_V0,Material Handling - Conveyor - Screw Type with AC Gear Motor Drive,"['Motor and Gearbox Frame, Mounting, Gear Case', 'Motor Rotor Bars and Shorting Rings (Cast Type)', 'Motor and Gearbox Bearing Shaft Seals', 'Motor Space Heaters, if present', 'Emergency Stop or Shutoff, if present', 'Drive Chain Guard', 'Screw Shaft', 'Motor External Fan & Cover', 'Motor Stator Laminations', 'Motor Stator Windings', 'Motor Bearings - Rolling Element (Radial Only)', 'Motor Leads and Electrical Connections', 'Trough, Stiffeners, and Guard', 'Screw Bearings - Rolling Element', 'Gearbox - Gaskets', 'Gearbox - Gears', 'Structure and Drive Base', 'Motor Output Shaft', 'Screw Blade', 'Gearbox Bearings - Rolling Element (Radial and Thrust)', 'Motor or Conveyor Grounding Wire', 'Lubrication - Grease (Drive Motor, Chain, and Screw)', 'Screw Bearing Housings', 'Screw Bearing Seals', 'Gearbox - Oil Breather', 'Motor Stator Winding Blocking, Bracing, Wedges, and Ties', 'Lubrication - Oil (Drive Gearbox)', 'Drive Sprockets', 'Drive Chain']"
Bulk_Conveyor_Bucket_Vert_MotorDriven_V0,Conveyor - Bucket Vertical Type with Drive Motor,"['Drive and Idler Sprockets', 'Fasteners', 'Bucket', 'Chain', 'Drive Motor', 'Support Frame, Structure, Platforms, Stairs, Walkways, and Hand Rails', 'Switches - Emergency Stop', 'Switches - Control and Position', 'Guards', 'Belt', 'Drive Gear Reducer', 'Drive and Idler Shafts', 'Drive Couplings']"
Bulk_FDR_1,Coal Handling - Vibrating Feeder,"['VF wheel', 'Support cables', 'Feeder springs', 'Feeder bed support structure', 'Safety cables', 'Upper boot', 'Diverter plates', 'Motor', 'Lower boot', 'Bed plate or liner']"
Bulk_Feeder_Screw_DirectDrive_V0,Feeder - Screw Auger - Direct Drive,"['Drive Chain or Belt', 'Auger Shaft Pillow Block Bearing, if present', 'Intake or Discharge Hopper or Housing', 'Lubrication - Gearbox Oil or Gearlube, if present', 'Lubrication - Grease Fittings (e.g. Zirc type, feed tubes), if present', 'Hardware & Fasteners (general)', 'Lubrication - Grease (Motor, Pillow Block,  and some Gearboxes)', 'Drive Sprockets or Sheaves', 'Auger Agitator, if present', 'Drive Motor Leads and Electrical Connections', 'Auger Shaft Coupling', 'Foundation', 'Drive Chain or Belt Tensioner', 'Auger Shaft Seal or Packing', 'Feeder Guards', 'Auger', 'Drive Gearbox', 'Drive Chain or Belt Guard', 'Drive Motor', 'Feeder Tube or Tray Gaskets or Seals', 'Drive Mounting Bracket', 'Drive Chain']"
Bulk_Feeder_Screw_InDirectDrive_V0,Feeder - Screw Auger - In-Direct Drive,"['Drive Chain or Belt', 'Auger Shaft Pillow Block Bearing, if present', 'Intake or Discharge Hopper or Housing', 'Lubrication - Gearbox Oil or Gearlube, if present', 'Lubrication - Grease Fittings (e.g. Zirc type, feed tubes), if present', 'Hardware & Fasteners (general)', 'Lubrication - Grease (Motor, Pillow Block,  and some Gearboxes)', 'Drive Sprockets or Sheaves', 'Auger Agitator, if present', 'Drive Motor Leads and Electrical Connections', 'Auger Shaft Coupling', 'Foundation', 'Drive Chain or Belt Tensioner', 'Auger Shaft Seal or Packing', 'Feeder Guards', 'Auger', 'Drive Gearbox', 'Drive Chain or Belt Guard', 'Drive Motor', 'Feeder Tube or Tray Gaskets or Seals', 'Drive Mounting Bracket', 'Drive Chain']"
Bulk_Pugmill_1_V0,Pugmill Mixer - Large Electric Drive,"['Covers, Guards', 'Paddle Shaft', 'Cleanouts', 'Paddles', 'Drive Chain or Belt', 'Intake or Discharge Hopper or Housing', 'Paddle Shaft Coupling', 'Lubrication - Gearbox Oil or Gearlube, if present', 'Lubrication - Grease Fittings (e.g. Zirc type, feed tubes), if present', 'Hardware & Fasteners (general)', 'Drive Sprockets or Sheaves', 'Paddle Shaft Bearing', 'Drive Motor Leads and Electrical Connections', 'Foundation', 'Drive Chain or Belt Tensioner', 'Gaskets or Seals', 'Drive Gearbox', 'Trough or Mixing Bed', 'Paddle Shaft Seal', 'Lubrication - Grease (Motor, Shaft Bearing,  and some Gearboxes)', 'Drive Chain or Belt Guard', 'Drive Motor', 'Spray Nozzles, if present', 'Drive Mounting Bracket', 'Drive Chain']"
Bulk_Pulverizer_1,Pulverizer - Coal - Bowl Type,"['Journal roll assembly', 'Journal rolls', 'Feeder', 'Grinding ring', 'Journal springs', 'Exhauster, if present', 'Separator', 'Mill motor', 'Crossover pipe and turning vane, if present', 'Grinding bowl', 'Foundation', 'Grinding Ring', 'Vertical shaft', 'Pyrite scraper assembly', 'Gearbox oil filter', 'Gearbox', 'Hardware & fasteners', 'Journal roll assembly - upper & lower housings', 'Venturi outlet, if present', 'Inverted cone', 'Gearbox oil pump', 'Pyrite areas', 'Gearbox oil cooler', 'Classifier', 'Feeder controls', 'Pyrite discharge chute']"
Bulk_Pulverizer_2,Pulverizer - Coal - Roll Wheel Type,"['Pyrite Plow - Large Bottom Bowl', 'Tempering Air Damper Seal Ring', 'Pyrite Box', 'Feeder', 'Mill Motor', 'Valves - Outlet Knife Gate or Swing types', 'Roll Wheels/Tires', 'Tempering Air Damper', 'Lube Oil Skid - Heater', 'Pyrite Plow - Small Bottom Bowl', 'Rotating Throat Assembly', 'Spring Load System - Springs', 'Lube Oil Skid - Cooler', 'Primary Air Fan - Housing', 'Roll Assembly', 'Discharge Turret Plates', 'Classifier Blades', 'Gearbox', 'Intermediate Housing', 'Pipes - Coal Outlet', 'Yoke (Grinding Table)', 'Primary Air Fan - Blades', 'Spring Load System - Tension members', 'Rotating Throat Wall Assembly', 'Dynamic Classifier Electric Motor', 'Spring Load System - Hydraulic cylinder', 'Lube Oil Skid - Oil Pump', 'Primary Air Fan - Bearings', 'Classifier Cone', 'Primary Air Fan Motor', 'Feeder Controls', 'Segmented Grinding Ring', 'Pyrite Plow', 'Top Housing', 'Lube Oil Skid - Filter']"
Bulk_Pulverizer_3_V0,Pulverizer - Horizontal Ball Mill - Lime Slaker,"['Inching Drive Gearbox', 'Pipe and Penetrations', 'Main Drive Coupling (Motor & Gearbox)', 'Pedestal', 'Trunnion Bearing Lube Oil', 'Flange', 'Guards', 'Pipe', 'Main Drive Gearbox', 'Main Drive Motor (see MV Motors)', 'Shell', 'Instrumentation - Indicators, Transmitter, and Gauges (Flow, Level, Pressure, Temperature, Main Motor Amps)', 'Liner', 'Inching Drive Clutch', 'Hardware & Fasteners (general)', 'Power wiring with connectors', 'Balls', 'Foundation', 'Bull Gear', 'Pinion Bearings - Pillow Block Type', 'Inlet Seal Packing', 'Gear Spray', 'Control wiring with connectors', 'Inlet Screw Feeder, if present', 'Kirk Key Interlock', 'Shell Manways', 'Barrel Heater', 'Trunnion', 'Pipe Hangers and Clamps', 'Inching Motor Coupling', 'Control Panel and Display (Local)', 'Pipe Insulation', 'Inching Motor (see LV Motors)', 'Slaking Water Control Valve (Air Operated)', 'Pipe Standoffs', 'Pinion Gear', 'Classifier', 'Gaskets', 'Slaking Water Control Valve (Air Operated))', 'Trommel Screen', 'Pinion Bearing Automatic Greaser, if present']"
Bulk_SEPR_1,Coal Handling - Magnetic Separator,"['Amp meter', 'Belt', 'Drive belts', 'Printed circuit boards', 'Wiring', 'Electromagnets', 'Gear box gaskets', 'Pulleys', 'Magnet tank', 'Magnet tank oil breather', 'Pulley bearings', 'Gear box bolting', 'Control transformer', 'Sheaves', 'Gear box shaft oil seals', 'Rollers, if present', 'Gear box gears', 'Gear box bearings', 'Motor', 'Power semiconductor Components', 'Magnet tank oil', 'Gear oil', 'Speed switch, if present', 'Undercurrent relay']"
