,question,cluster
187,"sir how i can upload our web page ?
",5
188,"how do you create a server when creating a webpage not on khan ?
",5
189,"maybe in this specific case , v₀ and h are equal to 0 ?
",2
190,"is javasctipt required for web interaction ?
",5
191,"who is the creator of web ?
",5
192,"how do u hack the hacker 's hack ?
",5
193,"can we use other programing language to do a web site ?
",5
194,"where can we actually make a website ?
",9
195,"which programming language does khanacademy use ?
",5
196,"in the programming html , what does `` meta-charset = `` utf-8 '' '' mean ?
",5
197,"how do you think we got the browsers that we use today ?
",9
198,"how long does it take to program a website ?
",1
199,"so normally when you make a code and say to your sender in a meeting the shift amount before you actually start sending the messages , what if the intercepter somehow was able to intercept that ?
",9
200,"so , if we were to try to break these frequencies , by spelling with a bunch of uncommon letters , and reducing the common letters , would it be easier to crack ?
",9
201,"is n't a caesar cipher incredibly easy to brute force ?
",9
202,"is there a place in the internet where one could find fingerprints of other languages ?
",5
203,"why bother with frequency analysis ?
",3
204,"because in the video it says that in 800 years , al-kindi made caesar cipher method weaker by creating a frequency code ... but how long did they use the frequency code ?
",3
205,"but how the frequency are taken by the hacker they can directly hack by the the some books or take training to do so ?
",5
206,"can you give exact meaning of cryptography ?
",3
207,"do we still use codes in real life , such as war ?
",1
208,"if you used numbers to represent the letters , and used the caesar cipher , how would you crack the code ?
",3
209,"is it possible to use the caesar cipher if one wants to communicate numbers ?
",3
210,"what % of the us population can figure out the alphabet invented by caesar cipher used to send secret messages ?
",3
211,"can you put sql in web pages ?
",5
212,"say if i had an .csv or .xlsl that i want to use in an app , can sql use these type of files ?
",5
213,"can java be used to fetch data from relational database ?
",5
214,"so every app uses a database ?
",5
215,"is sql anything related to html or css ?
",5
216,"how is hardware involved in storing data ?
",5
217,"how can i embed sql data on a html/css site animated with javascript ?
",5
218,"can we use sql and js in the same page ?
",5
219,"is there any relationship to the logic and language of sql and the language used to create macros in microsoft applications ?
",5
220,"what are the types of database ?
",5
221,"does tcp/ip protocol exist in my browser or in my computer ?
",5
222,"at max , how many bits can fit in a package ?
",9
223,"how does tcp know whether the file was lost or it simply has n't arrived yet ?
",9
224,"can the data get into accidents or something like that ?
",9
225,"so is the border gateway protocol is what dictates which route for packets to move to its destination , based on the `` cheapest '' way ?
",3
226,"how can hackers trick you into going on the wrong web ?
",5
227,"why is it called wifi ?
",5
228,"what is the danger if a untrusted website started a secure connection with the web browser ?
",5
229,"at 0:15 it says that alice and bob would get more profit by compressing their code , but sending less bits means getting less pennies right ?
",9
230,"what is decision tree of possibility ?
",9
231,"how did edison 's system with more difference increase the speed ?
",0
232,"is there any way the concept of a primitive root could be explained in much simpler terms ?
",3
233,"for example , if the question were to be 46 mod 13 ( just changing an example from a previous video ) would the clock have to have 13 spots instead of the normal 12 ?
",2
234,"if there is a pattern of primes , would n't there also be a pattern of composite numbers ?
",3
235,"let me get this straight , at 0:35 , they said that 46 mod 12 = 10 and they figured that out by wrapping a rope of 46 units around a clock and the rope ended at 10 ?
",2
236,"how can you break a code with a super long number if the exponent is , say , 4 ?
",2
237,"is the arduino software similar to js ?
",5
238,"really think about it : what 's the problem in a primality test that runs a set number of tests and then deems a number prime if no tests deemed the number composite ?
",9
239,"when brit says # bounces = log ( 2 ) ( # outcomes ) , what exactly does that mean ?
",9
240,"according to the rules of logarithms : sum ( i=1 , n ) p_i * -1 log2 ( p ) , which means entropy is negative ( for n odd ) ?
",3
241,"that means , is not that you are expected to every time have to ask 1.75 questions , but instead : - 1/2 of the time ask 1 question - 1/4 of the time ask 2 question - 1/4 of the time ask 3 questions when you multiply the probabilities with the amount of questions , you get 1.75. why use a single number instead of this whole system ?
",2
242,"please someone tell me how to break the poly alphabetic cipher text ?
",6
243,"how are the differences between the poylalphabetic cipher and the ceaser cipher ?
",6
244,"does the strength of the polyalphabetic cipher not only depend on the length of the shift word but what exact shift word was used and does it increase exponentially as the letters increase by +1 ?
",3
245,"why should the frequency distribution should be checked in intervals ?
",3
246,"can somebody please tell me about the finger frequency ?
",9
247,"how does finger frequency work ?
",3
248,"at 6:40 why is it π ( x ) / ( x/ln ( x ) ) ?
",2
249,"why would you cut any branch leading to tails at 1:11 ?
",6
250,"what 's the reason for sequence of information and parity bits at 3:38 ?
",3
251,"i mean why are the parity bits on the 1st , 2nd , and 4th place ?
",2
252,"how do you identify real information from parity bits ?
",3
253,"how exactly can eve , per say , intercept alice 's and bob 's messages without alice and bob knowing or receiving a warning about it ?
",9
254,"so what exactly is cryptography ?
",3
255,"how far back does the number theory extend ?
",9
256,"what is a `` caesar cipher '' ?
",6
257,"so there are many types of cryptography , right ?
",3
258,"it is said around 1:10 that cryptography ( or at least the concept of encryption/decryption ) has been around for thousands of years -- what is some of the earliest known examples of this ?
",1
259,"when people decide to make up their own language and/or writing is that cryptography ?
",9
260,"why ca n't i type in an ip address and go to the site that i want ?
",9
261,"is it possible ipv6 to become not enough like ipv4 ?
",5
262,"i do n't understand if ip adress are for internet or for devices , for example , do my computer have a ip or my internet have a ip ?
",5
263,"is there any differences between the .net .org or .com ?
",5
264,"what will happen when ipv6 take effect ?
",6
265,"how is the internet linked to you broadband , are they moderators ?
",5
266,"how is the the internet created ?
",5
267,"what happens when you have a hacker hacking in to your system ?
",5
268,"at 1:30 , do prime numbers in a ulam spiral have a specific structure shape ?
",3
269,"do negative numbers have prime factorizations ?
",3
270,"is there a way to make the space between numbers shrink as the numbers get larger ?
",9
271,"at 2:54 it states that 2 , 3 , 5 are the only prime numbers of 30 , but 10 and 15 can also divide into 30 evenly ?
",2
272,"if w=x+y+z , what is the arithmetic mean of w , x , y , and z in terms of w ?
",2
273,"how far does the pattern of `` pairs '' of primes go ?
",3
274,"would n't the amount of storage actually be less than 14.7 megabytes , because the smaller primes do n't take up nearly as much space ?
",9
275,"would it mess up the encrypted message itself ?
",5
276,"how to exploit this leak ?
",4
277,"if you picked a random number 0 through infinity would it be just infinity or some big number ?
",2
278,"at 5:58 , sal said : `` all primes and no composites , or all composites and no primes ... '' does n't those mean the same thing ?
",6
279,"oh yeah , can negative numbers be prime ?
",9
280,"would dna be considered an algorithm ?
",3
281,"what happens if that checkers program plays against itself ?
",9
282,"how can we find the average of three numbers ?
",0
283,"in physics , algorithms simulate climate what does this mean ?
",3
284,"can an algorithm be termed incorrect ?
",3
285,"if you 're just playing a game though ... besides , how is alice going to know what card bob picked ?
",9
286,"to have perfect secrecy , would it also be necessary to have no way of confirming your guess ?
",9
287,"can someone give me more information on cuneiform ?
",5
288,"then how does sound play a role ?
",9
289,"does anyone think it would be possible if one day all humans could speak one language ?
",9
290,"also , what types of conditions are needed for such plants to grow ?
",0
291,"why were there hundreds of sound symbols ?
",3
292,"at 5:23 you said bread and beer did they really make beer in 3000 bc ?
",9
293,"question : why is chinese not transitioning from word signs to sound signs ?
",9
294,"where each bin is assigned two indices ?
",2
295,"in creating own website are the 3 languages ( html/css/java ) written together or are they written on separately ?
",5
296,"does hopper have anything to do with grace hopper ?
",6
297,"how can i create a personal website ?
",5
298,"how do you create a website ?
",5
299,"is your computer connected to the internet ?
",5
300,"finally , once you 've made a website or game how does someone go about putting it on the internet for my friends or other people to see ?
",9
301,"is there any places where i can create my own website for free ?
",5
302,"how many programming languages are there ?
",5
303,"what kind of browser do you use ?
",5
304,"can you browse user 's webpages anywhere ?
",5
305,"say i 've made a really awesome website on khan academy , how do i upload it on to the web so that if someone types in the name of my website on google it should come up ?
",5
306,"do you have to talk to the company that made the browser to make a website ?
",5
307,"at 2:18 , what if one uses a 'random ' shift like a is d , d is k ... ..rather using shift 3 or 4 or anything ?
",2
308,"how do the allies know the pattern of the caesar cipher , how would caesar deliver the message of what the pattern is ?
",3
309,"if i right : a shifted to d , b shifted to e .. so the fingerprint is `` 3 '' ?
",2
310,"can you use different shift for each letter of the word so to make it impossible to break ?
",9
311,"is there any difference between cesarean cipher and caesar cipher ?
",6
312,"could n't u just add a whole bunch of meaningless letters at the end of the message like this `` meet me at elephant lake hfkj dhfi jdhgie hsk `` to balance the letter frequencies out ?
",9
313,"is there a way to link a javascript program to an sql script ?
",5
314,"can sql be used for another activities , besides recording data and other stuff in your life ?
",5
315,"what is the difference between sql and htsql , linq , xquery ?
",6
316,"can you put sql in html ?
",5
317,"how good of a language is sql for creating databases ?
",5
318,"what if i wanted to code something like siri what kind of data would that use ?
",9
319,"is sql like the storage function in javascript ?
",5
320,"if some data is lost during transmission , where will it go ?
",0
321,"so does it mean billions of other people are using my router ?
",9
322,"is it possible for a packet to hold data for more than one computer ( like fedex delivers for tons of different people ) ?
",9
323,"is tcp means wired and udp means wireless connections ?
",5
324,"if the information in the network arrive at different times or out of order , then it could be why a webpage takes longer to load and looks incomplete ?
",9
325,"so where are these routers that are passing along everyone 's information ?
",5
326,"good morning , i think it was mentioned that routers only manage about eight machines/systems at a time , is there some other device that manages more than this ?
",9
327,"the browser can ask the web server , `` has this css file changed since last thursday ?
",5
328,"do we always get assigned to the same cookie by a specific website like tumblr ?
",5
329,"what safeguards are in place so that someone ca n't just take an existing certificate and say it 's their own ?
",9
330,"or it 's all about the server to guarantee that the website 's ip address is the right one ?
",5
331,"does the cookie for particular website gets deleted if the user logs out of the account ?
",5
332,"i wonder how hackers hack even secured protocols ?
",5
333,"at 3:23 , what does it mean by the statement that limit of compression will always be the entropy of the message source ?
",3
334,"at the minute 1:40 you say that the hovercard has an index of 4 , but did n't you meant an index of 10 ?
",2
335,"ie what should the graph look like for higher voltages ?
",3
336,"if two gases hydrogen ( h2 ) and oxygen ( o2 ) are kept in two different containers with equal temperature , volume and no of molecules will the pressure be same ?
",4
337,"could n't the mystery substance be one atom of fluorine ?
",4
338,"at 1:16 , for every ideal gas problem would you always substitute pressure as 1 atm and temperature as 273k because of the stp ?
",4
339,"at 2:45 how is water a gas ?
",4
340,"but how do you convert celsius to calvin ?
",6
341,"hi sal , i tried to use the standard equation like you suggested to see if i could derive 22.4 l on my own , but got a strange answer , 9,68 x 10 to the -6. i used r as .082 and converted 98 ml to .098 l. why could n't i get 22.4 l on my own ?
",2
342,", one mole of cl2 gas will have more molar mass than one mole of h2 gas , but if both are at stp they both occupy 22.4 l volume ?
",6
343,"is the molar mass the same thing as the gfm ?
",6
344,"what is the difference between molar mass and gram atomic mass ?
",4
345,"`` carcinoma in situ '' means the boundary has n't been crossed ?
",3
346,"so i know how to tell if someone is having a stroke , but is there a more obvious thing that might make me suspect that they are having a stroke ?
",9
347,"well , if vibration i-e. back and forth movement is the cause for the production of sound , then back and forth movement of a pencil should also produce sound but we do n't hear any ?
",9
348,"then how does holes constitute hole current ?
",4
349,"how can we show that 1 mole at stp = 22.4 l ?
",2
350,"when calculating the molecular mass would you be able to use the formula : m=mrt/pv using big m ( molar mass ) and little m ( mass in grams ) ?
",4
351,"i 'm confused because 0 degrees celsius is water 's freezing point and does n't that show that it 's solid ?
",9
352,"what are foods to avoid to help avoid this dysplasia ?
",8
353,"would n't the damage then be irreversible and therefore lead to symptoms being unresolved ?
",8
354,"my question is that when wind whooshes past my face where is the sound i am hearing coming from ?
",9
355,"what force is accelerating the air back and preventing it from continuing outwards ?
",4
356,"is myelin sheath same as schwann cells ?
",6
357,"how long does it take for the signal to get from the soma to the terminal ?
",4
358,"do nodes of ranvier appear only in the pns , cns or both ?
",6
359,"at the node of ranvier , there are gated channels to boost the signals transmitted through axons , are those gated channels are always in pair ( 1 na + 1 k gated channels ) ?
",6
360,"for clarification , do stimuli cause the sodium to pass over the membrane for the first burst of energy ?
",4
361,"at 7:20 , is there only one pi bond , or would that be showing two pi bonds ( one for each overlap ) ?
",6
362,"what is an electron density ?
",4
363,"at 7:07 , why does n't one of the two carbons in the ethylene compound spin around so that the two electrons in the unhybridized orbitals are farther from each other ?
",6
364,"why does only the central atom geta hybridized ?
",6
365,"how do scientists predict the 3d configuration of the entire molecule ?
",4
366,"are there 0 lone pairs referring to the 0 lone pairs surrounding the boron atom specifically ?
",2
367,"like it said at 11:40 , in overall , is it you always fill valence electrons into sp2 orbitals first then free p orbital right ?
",4
368,"here we discuss the hybridization of central atoms , are the more-exterior atoms ( i 'm considering the fluorine atoms in bf3 ) similarly hybridized ?
",4
369,"does hybridization actually take place or it 's just a hypothetical concept to explain extra valencies and the like ?
",9
370,"are all sp2 atoms from group 3 on the periodic table capable of accepting an electron pair as mentioned at 11:50 ?
",4
371,"didnt boron have 2s2 and 2p1 ?
",6
372,"with the bf3 why is the electrons around the f not counted as single electron pairs ?
",4
373,"are there any type of bond other than sigma and pi bond ?
",2
374,"why does bf3 have an empty p orbital or even have it at all ?
",6
375,"how does the atp molecule work in the active site ?
",4
376,"what happens if enzymes were allowed to operate at a maximum rate at all times ?
",0
377,"at 8 ; 10 , i ca n't understand how high pco2 & low po2 cause the same thing ?
",9
378,"as the amu of carbon-13 is 13.0034 , will the amu of carbon-14 increase +1.0034 and be 14.0068 ?
",6
379,"is carbon-12 called carbon-12 because it has an atomic weight of twelve atomic mass units , or because the number of protons and neutrons added together is twelve ?
",4
380,"can an atom get infinite neutrons ?
",4
381,"when you work out the atomic mass , is n't there more carbon isotopes than just carbon 12 and carbon 13. so wo n't you have to add them to the equation to get the correct atomic mass ?
",4
382,"at 7:00 wouldnt the ice break the dam anyway so it looked to me either way the fish would die ?
",9
383,"does inflamation of the blood vessels also include atherosclerosis ?
",8
384,"where does all of the heat energy go ?
",4
385,"where does all of the heat go ?
",4
386,"if energy can not be created or destroyed , are you saying that there was potential energy for an infinite amount of years before the big bang theory ?
",9
387,"can we store sound energy ?
",4
388,"what is `` matter '' in thermodynamics anyway ?
",4
389,"so , why ca n't we say that we have created energy and defy the first law of thermodynamics ?
",9
390,"energy can not be created or destroyed ' then where did all the initial energy in the big bang come from ?
",0
391,"what is the relativistic mass of a photon ?
",4
392,"can we use light as energy because of photons in places like power plants and to operate electric things ?
",4
393,"how does the molecule go from sticking out of the page to going into the page , while the others just move from the plane of the page to sticking out ?
",9
394,"what 's the actual difference between chiral molecules or chirality and enantiomers ?
",6
395,"what is a steriogenic centre ?
",1
396,"why is the turn going counter clockwise ( s ) if the groups should go in the direction of the 1st ( or most ) priority to the fourth-priority ?
",1
397,"so when dealing with the groups of hydrogen ( # 4 ) , of c-f ( # 2 ) and the methyl ( # 3 ) , should n't the arrow start at # 2 to # 3 to # 4 ?
",2
398,"how would the molecule shown at 0:54 be depicted ?
",6
399,"i had a doubt.. what if double bonds were present in the compound ... how do we name them using r or s nomenclature ?
",3
400,"at 6.13 , does 'highest to highest ' mean that it does n't matter if there is 10 flourines ?
",0
401,"can we have enantiomer of a molecule that has no chiral center ?
",6
402,"i was just wondering , why the carbon on the left , connected to the f and two ch3 groups was not chosen as the chiral center , both carbons seem to be connected to four groups ?
",6
403,"is this a multi-chiral center molecule ?
",4
404,"well , as far as i know , atoms can not be rotated around double bonds .so if i 'm trying to use the cahn ingold prelog system , rotating the molecule such that the lowest ranked atom be into the page would n't be possible .how can i proceed in such a case ?
",9
405,"at 2:57 when naming the molecule , why is the bottom methyl group chosen instead of the leftmost methyl group ?
",6
406,"if you knock out an electron from a piece of caesium with a velocity of 2.8 * 10⁵ m/s , would n't the piece of caesium exert a net attractive force on the electron ( because of it ' s net positive charge ) and would n't then the photoelectron again become a part of this lump of caesium ?
",4
407,"but if you were to take a ridged piece of metal , broken up and busted , yet still shiny enough to bounce off light , would it make the light ridged physically ?
",4
408,"what exactly is the intensity of light ?
",4
409,"energy of a photon is e=hf not hv right ?
",4
410,"what is this frequency of the light called ?
",4
411,"why ca n't wave nature of light explain photoelectric effect ?
",9
412,"can a metal be depleted of electrons by shining light on it ?
",4
413,"how are photons related to the structure of an atom ?
",4
414,"ls it not possible to increase the amplitude of lower frequency light so it 's energy is equal to that of higher frequency light ?
",4
415,"in the photoelectric effect , why does current not change with frequency ?
",4
