wonum,description,persongroup,crewworkgroup,assetnum,asset description,location,location description,status,worktype,siteid,problemcode,taskid,task description,desc_and_uni_task,label_description
R10518791,WARNING CONDITION MONITORING VALUE,MECHANICAL,MCH,C1045834,NOV HPS-03 1000 TOP DRIVE,313.TD1,"TOP DRIVE, MAIN WELL",CLOSE,CM,2290.0,PDE,10.0,"WARNING!
	The equipment inspection performed contains a value deviating from the system defined limits for the connected meter reading.
	
	ACTION:
	Verify the registered value is correct.  If the value is not correct or routine maintenance can resolve the deviation, make the necessary corrections and select PASS.
	If the registered value is correct and beyond routine maintenance, it is mandatory to contact Technical Services with the findings and review the immediate actions required.  
	If the failure will require complete overhaul or continued operation with increased monitoring until overhaul, select FAIL.  
Selecting fail will generate an overhaul work order for this equipment.  The scheduling of the overhaul will be decided after review with the Technical Services team. Input the values in the meter readings tab of the completion info section of this work order for meter CBM-WAR","WARNING CONDITION MONITORING VALUE. WARNING!
	The equipment inspection performed contains a value deviating from the system defined limits for the connected meter reading.
	
	ACTION:
	Verify the registered value is correct.  If the value is not correct or routine maintenance can resolve the deviation, make the necessary corrections and select PASS.
	If the registered value is correct and beyond routine maintenance, it is mandatory to contact Technical Services with the findings and review the immediate actions required.  
	If the failure will require complete overhaul or continued operation with increased monitoring until overhaul, select FAIL.  
Selecting fail will generate an overhaul work order for this equipment.  The scheduling of the overhaul will be decided after review with the Technical Services team. Input the values in the meter readings tab of the completion info section of this work order for meter CBM-WAR",Parameter deviation. A parameter is not controlled as set
R10513810,Install new wiper blades on Aux driller front window.,MECHANICAL,MCH,C10915003,NOV CYBERBASE DRILLING CONTROL,311.DC1,DRILLING CONTROL,CLOSE,CM,1020.0,DFM,10.0,Install new wiper blades on Aux driller front window.,Install new wiper blades on Aux driller front window.. Install new wiper blades on Aux driller front window.,Deformed. Not having the normal or natural shape or form
R10515611,Replaced conical nut for upper forward torque wrench die carrier,MECHANICAL,MCH,C10915631,NOV HYDRATONG ARN-270- AUX WELL,342.HRN2,"IRON ROUGHNECK 2, AUX WELL, HYDRATONG",CLOSE,CM,1020.0,DFM,10.0,"Upper forward die carrier conical nut has some teeth broken, required to be replaced.","Replaced conical nut for upper forward torque wrench die carrier. Upper forward die carrier conical nut has some teeth broken, required to be replaced.",Deformed. Not having the normal or natural shape or form
R10514626,Troubleshoot IOC 1 chair pedstal wiring,ELECTRICAL,ELT,C1025759,OPERATOR STATION,311.DC1.300,OPERATOR STATIONS,CLOSE,CM,2330.0,PTF,10.0,Troubleshoot wiring harness in base of IOC 1 chair. Driller reported touchscreens will turn magenta color and stop displaying data.,Troubleshoot IOC 1 chair pedstal wiring. Troubleshoot wiring harness in base of IOC 1 chair. Driller reported touchscreens will turn magenta color and stop displaying data.,Power or signal failure. Power or signal loss in electrical system
R10515418,DFMA Park Prox inoperable,ELECTRICAL,ELT,C1026328,MHWIRTH DRILL FLOOR MANIPULATOR ARM (DFMA),341.DFMA1,DRILL FLOOR MANIPULATOR ARM 1,CLOSE,CM,2330.0,PTF,10.0,Driller called and reported that the DFMA was inoperable condition. trouble shot and determined that the park proximity sensor had failed.,DFMA Park Prox inoperable. Driller called and reported that the DFMA was inoperable condition. trouble shot and determined that the park proximity sensor had failed.. Pull replacement sensor from stock and replace. test and return to service.,Power or signal failure. Power or signal loss in electrical system
R10514641,"Send traveling block tilt cylinder to Logan Industries for Rebuild $2,450.00",MECHANICAL,MCH,C1017429,"SYSTEM, TOP DRIVE TDX-1250",313.TD1,"TOP DRIVE, MAIN WELL",CLOSE,CM,2317.0,ELK,10.0,"This work order is created to send in a cylinder to Logan Industries to replace worn seals. See eDocs attachment for Logans quote.
This cylinder had been removed from the main top drive traveling block fwd side. See related work order. NOV, cannot provide seal kits, nor can Parker and or connector specialist and cylinder is proprietary and that is why we are sending it to  Logan industries for repairs.","Send traveling block tilt cylinder to Logan Industries for Rebuild $2,450.00. This work order is created to send in a cylinder to Logan Industries to replace worn seals. See eDocs attachment for Logans quote.
This cylinder had been removed from the main top drive traveling block fwd side. See related work order. NOV, cannot provide seal kits, nor can Parker and or connector specialist and cylinder is proprietary and that is why we are sending it to  Logan industries for repairs.. Once Logan receives the cylinder and confirms they can repair the cylinder with a seal kit of their own, we will need to ask them if they can sell us a spare cylinder seal kit for future if and when needed.. Once we receive the repaired cylinder back we will need to evaluate main aft traveling block stabilizer cylinder. This cylinder looks like it is starting to leak hydraulic oil at the rod seals and this is what prompted us to send cylinder in for repairs. So to change out in the event of complete cylinder seal failure.. Cylinder to be sent to address below:
1000 Blasingame Road Hempstead Texas 77445",External leak. Accidentally lose or admit contents.  Source of leak is visible.
R10509653,"Hotline Reel - Replace leaking 1/4"" control valve (Item #67)",WELL CONTROL,SSS,C1019629,NOV SHAFFER HOTLINE HOSE REEL,332.BCSS1.130,"REEL, HOTLINE HOSE, BOP CONTROL SYSTEMS SURFACE EQUIPMENT",CLOSE,CM,2318.0,ELK,10.0,"Replace Hotline Reel control cabinet leaking 1/4"" control valve (Item #67)","Hotline Reel - Replace leaking 1/4"" control valve (Item #67). Replace Hotline Reel control cabinet leaking 1/4"" control valve (Item #67)",External leak. Accidentally lose or admit contents.  Source of leak is visible.
R10505619,KBC #1 oil analysis result STOP. oil order for Replacement and follow up,MECHANICAL,MCH,C1023293,NOV OC3932KCE KNUCKLE BOOM CRANE,361.DCR1,"DECK CRANE 1, KBC STBD FWD",CLOSE,CM,2326.0,PDE,10.0,INSTALL EXTRA PORTATIL FILTER UNIT TO ASSIST INFILTERING,KBC #1 oil analysis result STOP. oil order for Replacement and follow up. INSTALL EXTRA PORTATIL FILTER UNIT TO ASSIST INFILTERING. Replace filters. Order and Replace oil 5.3m3,Parameter deviation. A parameter is not controlled as set
R10519781,HPU - Change out pot water sock filters,WELL CONTROL,SSE,C1046272,NOV SHAFFER BOP HYDRAULIC POWER UNIT (HPU),332.BCSS1.200,"UNIT, HYDRAULIC POWER, BOP ONLINE, BOP CONTROL SYSTEMS SURFACE EQUIPMENT",CLOSE,CM,2290.0,PDE,10.0,Change out Pot Water Sock filters x 2. ICN 2070127,HPU - Change out pot water sock filters. Change out Pot Water Sock filters x 2. ICN 2070127,Parameter deviation. A parameter is not controlled as set
R10514354,Top drive change out gland seal of thread compensator cylinder,MECHANICAL,MCH,C10915058,NOV TDX 1250 TOP DRIVE- MAIN WELL,313.TD1,"TOP DRIVE, MAIN WELL",CLOSE,CM,1020.0,ELK,10.0,Thread compensator cylinder leaking on gland seal.,Top drive change out gland seal of thread compensator cylinder. Thread compensator cylinder leaking on gland seal.,External leak. Accidentally lose or admit contents.  Source of leak is visible.
R10517760,"REBUILD 1"" SPM DA ACOUSTIC - SHR/ISO - BOP 2",WELL CONTROL,SSS,C11085076,"VALVE, SPM, SHEAR ISOLATOR SPM, BOP 2 ACOUSTIC POD",332.BCS2.621.1,"VALVES, SPM, ACOUSTIC POD, BOP 2 CONTROL",CLOSE,CM,1010.0,DFM,10.0,"REBUILD 1"" SPM DA ACOUSTIC - SHR/ISO - BOP 2","REBUILD 1"" SPM DA ACOUSTIC - SHR/ISO - BOP 2. REBUILD 1"" SPM DA ACOUSTIC - SHR/ISO - BOP 2",Deformed. Not having the normal or natural shape or form
R10516767,Ring retainer - Chiksan,DRILLING,TLP,C1046063,MUD HIGH PRESSURE PIPING,325.MPIP2,"MUD HP PIPING & SP MANIFOLD, MUD SYSTEM PIPING",CLOSE,CM,2290.0,DFM,1.0,Ring retainer required for R/F chiksans,Ring retainer - Chiksan. Ring retainer required for R/F chiksans,Deformed. Not having the normal or natural shape or form
R10510349,"Triplex pump #1, Replace damaged O ring in strainer housing.",WELL CONTROL,SSE,C10915506,NOV SHAFFER BOP HPU TRIPLEX PUMP,332.BCSS1.210,"PUMP, HPU TRIPLEX 1, BOP ONLINE, BOP CONTROL SYSTEMS SURFACE EQUIPMENT",CLOSE,CM,1020.0,ELK,10.0,Replace cut O ring in Suction strainer housing.,"Triplex pump #1, Replace damaged O ring in strainer housing.. Replace cut O ring in Suction strainer housing.",External leak. Accidentally lose or admit contents.  Source of leak is visible.
R10509044,Troubleshoot Main Arm Hoist Aux Hydraracker,ELECTRICAL,ELT,C1023262,NOV HYDRARACKER IV VERTICAL PIPE HANDLER,341.PRS2,"VERTICAL PIPE HANDLER, AUX WELL, HYDRARACKER",CLOSE,CM,2326.0,PDE,10.0,Troubleshoot and repair proportional valve controller for main arm Hoist,Troubleshoot Main Arm Hoist Aux Hydraracker. Troubleshoot and repair proportional valve controller for main arm Hoist,Parameter deviation. A parameter is not controlled as set
R10512503,REBUILD LH LBSR BONNET 1207544970001,WELL CONTROL,SSE,C1026064,"CAMERON EVO 18 3/4"" 15KSI W/ TANDEM BOOSTER, BONNET, BLIND SHEAR RAM",331.BOP1.333,"BONNET, LEFT HAND, LBSR, BOP 1",CLOSE,CM,2330.0,ELK,10.0,"REBUILD LH LBSR BONNET 1207544970001 DUE TO LEAK OBSERVED DURING SOAK TESTING NOVEMBER 28, 2022.
BONNET WAS LAST OVERHAULED ON WORK ORDER 26724 JUNE 2021 AND RECEIVED A 6-MONTH COC EXTENSION AUGUST 2022.","REBUILD LH LBSR BONNET 1207544970001. REBUILD LH LBSR BONNET 1207544970001 DUE TO LEAK OBSERVED DURING SOAK TESTING NOVEMBER 28, 2022.
BONNET WAS LAST OVERHAULED ON WORK ORDER 26724 JUNE 2021 AND RECEIVED A 6-MONTH COC EXTENSION AUGUST 2022.",External leak. Accidentally lose or admit contents.  Source of leak is visible.
R10515153,1 hour NPT while performing test on SFT due to faulty plug valve.,DRILLING,DSL,C1046067,"VALVES, MUD STANDPIPE MANIFOLD, AUX WELL, MUD SYSTEM PIPING",325.MPIP2.210,"VALVES, MUD STANDPIPE MANIFOLD, AUX WELL, MUD SYSTEM PIPING",CLOSE,CM,2290.0,INL,10.0,1 hour NPT while performing test on SFT due to faulty plug valve. The valve will be sent to Mechanics for rebuilding then retesting.,1 hour NPT while performing test on SFT due to faulty plug valve.. 1 hour NPT while performing test on SFT due to faulty plug valve. The valve will be sent to Mechanics for rebuilding then retesting.,Internal leak. Accidentally lose or admit contents.  Source of leak is not visible.
R10513321,Replace Kill jumper hose on BOP#2,WELL CONTROL,SSS,C10954441,CHOKE AND KILL JUMPER HOSE,331.LMRP2.210,"HOSE, JUMPER, KILL SIDE, LMRP 2",CLOSE,CM,1020.0,ELK,10.0,Replace kill jumper hose on BOP#2 due to rupture during pressure test,Replace Kill jumper hose on BOP#2. Replace kill jumper hose on BOP#2 due to rupture during pressure test,External leak. Accidentally lose or admit contents.  Source of leak is visible.
R10516653,Investigate Upper IBOP failed pressure test,DRILLING,DSL,C1045837,"IBOP, UPPER, TOP DRIVE, MAIN WELL",313.TD1.210,"IBOP, UPPER, TOP DRIVE, MAIN WELL",CLOSE,CM,2290.0,INL,10.0,Investigate Upper IBOP failed pressure test on the 06/04/2023.,Investigate Upper IBOP failed pressure test. Investigate Upper IBOP failed pressure test on the 06/04/2023.,Internal leak. Accidentally lose or admit contents.  Source of leak is not visible.
R10520006,BOP HPU TRIPLEX PUMP #2 SUCTION STRAINER ORING REPLACEMENT,WELL CONTROL,SSE,C1021387,NOV SHAFFER BOP HPU TRIPLEX PUMP,332.BCSS1.220,"PUMP, HPU TRIPLEX 2, BOP ONLINE, BOP CONTROL SYSTEMS SURFACE EQUIPMENT",CLOSE,CM,2321.0,ELK,10.0,REPLACE DAMAGED ORING ON SUCTION STRAINER BASKET LID,BOP HPU TRIPLEX PUMP #2 SUCTION STRAINER ORING REPLACEMENT. REPLACE DAMAGED ORING ON SUCTION STRAINER BASKET LID,External leak. Accidentally lose or admit contents.  Source of leak is visible.
R10517055,Repairs to Main Well Hydraracker upper guide head,MECHANICAL,HYT,C1046394,NOV HYDRARACKER IV VERTICAL PIPE HANDLER,341.PRS1,"VERTICAL PIPE HANDLER, MAIN WELL, HYDRARACKER",CLOSE,CM,2290.0,DFM,10.0,Replace upper guide head pipe indicator and pipe pusher rollers,Repairs to Main Well Hydraracker upper guide head. Replace upper guide head pipe indicator and pipe pusher rollers,Deformed. Not having the normal or natural shape or form
R10511593,REPLACE O-RINGS ON YELLOW POD PILOT FILTER HOUSING,WELL CONTROL,SSE,C1026159,"FILTER, PILOT, YELLOW POD, BOP 1 CONTROL",332.BCS1.222,"FILTER, PILOT, YELLOW POD, BOP 1 CONTROL",CLOSE,CM,2330.0,ELK,10.0,"REPLACE QUANTITY 2 O-RINGS ON THE YELLOW POD PILOT FILTER HOUSING.
ICN 1716180
SEAL KIT = 703741-02-01
O-RING = 702645-13-01","REPLACE O-RINGS ON YELLOW POD PILOT FILTER HOUSING. REPLACE QUANTITY 2 O-RINGS ON THE YELLOW POD PILOT FILTER HOUSING.
ICN 1716180
SEAL KIT = 703741-02-01
O-RING = 702645-13-01",External leak. Accidentally lose or admit contents.  Source of leak is visible.
R10507022,Chair D monitor replacement,ELECTRICAL,ELT,C1022573,NOV CYBERBASE DRILLING CONTROL,311.DC1,DRILLING CONTROL,CLOSE,CM,2326.0,PTF,10.0,Monitor replacement on warranty claim,Chair D monitor replacement. Monitor replacement on warranty claim,Power or signal failure. Power or signal loss in electrical system
R10508907,ELT - Replace KBC angle sensor B on PDPH,ELECTRICAL,ELT,C1023353,NOV OC1891 PDPH CRANE,361.PDPH1,PIPE DECK PIPE HANDLING CRANE (PDPH),CLOSE,CM,2326.0,PDE,10.0,Replace KBC angle sensor B on Pipe Deck Handling Crane (PDPH),ELT - Replace KBC angle sensor B on PDPH. Replace KBC angle sensor B on Pipe Deck Handling Crane (PDPH),Parameter deviation. A parameter is not controlled as set
R10506855,Wash pipes change hard face seals.,MECHANICAL,MSV,C1019193,NOV TDX 1250 TOP DRIVE MAIN WELL,313.TD1,"TOP DRIVE, MAIN WELL",CLOSE,CM,2318.0,ELK,10.0,"During operation, the seal of the wash pipe presents a leaked on the face with approximately 240 hours of work.","Wash pipes change hard face seals.. During operation, the seal of the wash pipe presents a leaked on the face with approximately 240 hours of work.",External leak. Accidentally lose or admit contents.  Source of leak is visible.
R10515380,Main Hydratong - Cassete B - Hydraulic Hose Replacment,MECHANICAL,MCH,R2000022,"ROUGHNECK, IRON, MPT-200 HYDRATONG, FOR 60-1/2IN AND 75-1/2IN RT",342.HRN1,"IRON ROUGHNECK 1, MAIN WELL, HYDRATONG",CLOSE,CM,2321.0,ELK,10.0,Main Hydratong â€“ Cassete B - Upper Clamp OFF function â€“ replace hydraulic hose 617,Main Hydratong - Cassete B - Hydraulic Hose Replacment. Main Hydratong â€“ Cassete B - Upper Clamp OFF function â€“ replace hydraulic hose 617. Main Hydratong â€“ Cassete B - Spinner Clamp close â€“ replace hydraulic hose 650. Perform visual inspection on Cassete B hydraulic hoses and replace if wear or damaged. Replace lower clamp sequence valve,External leak. Accidentally lose or admit contents.  Source of leak is visible.
R10516479,Ordering Air Regulator for Diverter Skid,WELL CONTROL,SSE,C1018068,"PANEL, DIVERTER CONTROL SYSTEM",334.DIV1.410,"PANEL, DIVERTER CONTROL SYSTEM",CLOSE,CM,2317.0,ELK,10.0,Ordering Air regulator for Slipjoint packer on the Diverter control skid,Ordering Air Regulator for Diverter Skid. Ordering Air regulator for Slipjoint packer on the Diverter control skid,External leak. Accidentally lose or admit contents.  Source of leak is visible.
R10515712,REBUILD C&K MANIFOLD GATE VALVE# 43,WELL CONTROL,SSE,C10911867,CHOKE AND KILL MANIFOLD,336.CK1.240,"VALVES, MANUAL GATE, 2-1/16"" 10K, CHOKE & KILL SYSTEM",CLOSE,CM,1010.0,INL,10.0,"Rebuild gate valve on Choke Manifold  #43
PN# 51014166 SN# EE01C07001-0005-1
SIZE: 2 - 1/16"" - 10Kpsi","REBUILD C&K MANIFOLD GATE VALVE# 43. Rebuild gate valve on Choke Manifold  #43
PN# 51014166 SN# EE01C07001-0005-1
SIZE: 2 - 1/16"" - 10Kpsi",Internal leak. Accidentally lose or admit contents.  Source of leak is not visible.
R10519922,Repairs to Main well Hydratong,MECHANICAL,HYT,C1046398,"ROUGHNECK, IRON, MPT-200 HYDRATONG, FOR 60-1/2IN AND 75-1/2IN RT",342.HRN1,"IRON ROUGHNECK 1, MAIN WELL, HYDRATONG",CLOSE,CM,2290.0,ELK,10.0,Replace Hose - position 708 on lower torque wrench clamp.,Repairs to Main well Hydratong. Rebuild leaking cylinder on BOP#1 WHC. Replace Hose - position 708 on lower torque wrench clamp.,External leak. Accidentally lose or admit contents.  Source of leak is visible.
R10519609,Main TDx -  Dolly - Upper FWD Cylinder - Hydraulic Hoses Failure - NPT Downtime - Synergi 1622588,MECHANICAL,MCH,C1020810,"DOLLY, RETRACTABLE, TOP DRIVE, MAIN WELL",313.TD1.800,"DOLLY, RETRACTABLE, TOP DRIVE, MAIN WELL",CLOSE,CM,2321.0,ELK,10.0,Replace Upper Dolly FWD Cylinder retract  hose Â and extend hose Tag TA1 and TA2Â ,Main TDx -  Dolly - Upper FWD Cylinder - Hydraulic Hoses Failure - NPT Downtime - Synergi 1622588. Replace Upper Dolly FWD Cylinder retract  hose Â and extend hose Tag TA1 and TA2Â ,External leak. Accidentally lose or admit contents.  Source of leak is visible.
R10514121,NPT- 5.5 HOURS TECH- Troubleshooting on the Torque wrench clamp/unclamp,MECHANICAL,MCH,C10915058,NOV TDX 1250 TOP DRIVE- MAIN WELL,313.TD1,"TOP DRIVE, MAIN WELL",CLOSE,CM,1020.0,PDE,10.0,Chech pipehandle clamp presure,NPT- 5.5 HOURS TECH- Troubleshooting on the Torque wrench clamp/unclamp. Chech pipehandle clamp presure,Parameter deviation. A parameter is not controlled as set
R10515970,Place liner's in mud pump #3,DRILLING,TLP,C1025979,MHWIRTH TPK 2200 MUD PUMP,325.MP3,MUD PUMP 3,CLOSE,CM,2330.0,DFM,10.0,Place liner's in mud pump #3,Place liner's in mud pump #3. Place liner's in mud pump #3,Deformed. Not having the normal or natural shape or form
R10517192,Aux Hydraracker - lower trolley troubleshooting - Downtime - Synergi 1611202,MECHANICAL,ATSL,C1021588,NOV HYDRARACKER IV VERTICAL PIPE HANDLER,341.PRS2,"VERTICAL PIPE HANDLER, AUX WELL, HYDRARACKER",CLOSE,CM,2321.0,FTS,10.0,"Trouebleshooting lower trolley not moving. Report issues found.
Synergi 1611202 - downtime event","Aux Hydraracker - lower trolley troubleshooting - Downtime - Synergi 1611202. Trouebleshooting lower trolley not moving. Report issues found.
Synergi 1611202 - downtime event",Failure to start or function on demand. The equipment does not start or function on demand
R10517152,Main Hydraracker - Cassette B - Make-up/Break out cylinder leakig  - Synergi 1610849,MECHANICAL,ATSL,C1021591,NOV HYDRATONG MPT-200,342.HRN1,"IRON ROUGHNECK 1, MAIN WELL, HYDRATONG",CLOSE,CM,2321.0,ELK,10.0,Replace make-up / Break-out cylinder with external leaking by new one,Main Hydraracker - Cassette B - Make-up/Break out cylinder leakig  - Synergi 1610849. Replace make-up / Break-out cylinder with external leaking by new one. Connect hoses and perform function test to confirm no more leaks,External leak. Accidentally lose or admit contents.  Source of leak is visible.
R10519928,Repair Crane #1 Hoisting Issue,ELECTRICAL,ELT,C1018190,"LOAD MONITORING SYSTEM, DECK CRANE 1, KBC STBD FWD",361.DCR1.320,"LOAD MONITORING SYSTEM, DECK CRANE 1, KBC STBD FWD",CLOSE,CM,2317.0,FTS,1.0,Replace Pressure Transmitter.,Repair Crane #1 Hoisting Issue. Replace Pressure Transmitter.,Failure to start or function on demand. The equipment does not start or function on demand
