,text
14,"A MECHANICAL technician performed a work on the industrial asset:NOV HYDRATONG ARN-270- MAIN WELL on the location IRON ROUGHNECK 1, MAIN WELL, HYDRATONG. The work order description is: During visual inspection found set screw on the die holder damage. The equipment failed and is described as: Not having the normal or natural shape or form"
15,A DRILLING technician performed a work on the industrial asset:MUD LOW PRESSURE PIPING on the location MUD LP VALVE & PIPING SUCTION. The work order description is: change valves in the pit room. The equipment failed and is described as: Not having the normal or natural shape or form
16,"A WELL CONTROL technician performed a work on the industrial asset:NOV SHAFFER NXT 14"" PIPE RAM on the location UPPER TRIPLE, EXTRA PIPE RAM (EPR), BOP 1. The work order description is: Purchase and install missing door control manifold plugs on EPR doors. The equipment failed and is described as: Not having the normal or natural shape or form"
17,"A WELL CONTROL technician performed a work on the industrial asset:NOV SHAFFER HOTLINE HOSE REEL on the location REEL, HOTLINE HOSE, BOP CONTROL SYSTEMS SURFACE EQUIPMENT. The work order description is: Repair leaking splice connection in Hotline. The equipment failed and is described as: Accidentally lose or admit contents.  Source of leak is visible."
18,A MECHANICAL technician performed a work on the industrial asset:NOV 14-P-220 MUD PUMP on the location MUD PUMP 1. The work order description is: All mud pump liner washer packings need to be replaced. Due to leaking and being fully adjusted.. The equipment failed and is described as: Accidentally lose or admit contents.  Source of leak is visible.
19,"A MECHANICAL technician performed a work on the industrial asset:SYSTEM, TOP DRIVE TDX-1250 on the location TOP DRIVE, MAIN WELL. The work order description is: This work order is created to send in a cylinder to Logan Industries to replace worn seals. See eDocs attachment for Logans quote.
This cylinder had been removed from the main top drive traveling block fwd side. See related work order. NOV, cannot provide seal kits, nor can Parker and or connector specialist and cylinder is proprietary and that is why we are sending it to  Logan industries for repairs.. The equipment failed and is described as: Accidentally lose or admit contents.  Source of leak is visible."
20,"A WELL CONTROL technician performed a work on the industrial asset:NOV SHAFFER HOTLINE HOSE REEL on the location REEL, HOTLINE HOSE, BOP CONTROL SYSTEMS SURFACE EQUIPMENT. The work order description is: Replace Hotline Reel control cabinet leaking 1/4"" control valve (Item #67). The equipment failed and is described as: Accidentally lose or admit contents.  Source of leak is visible."
21,"A MECHANICAL technician performed a work on the industrial asset:NOV TDX 1250 TOP DRIVE- MAIN WELL on the location TOP DRIVE, MAIN WELL. The work order description is: Thread compensator cylinder leaking on gland seal.. The equipment failed and is described as: Accidentally lose or admit contents.  Source of leak is visible."
22,"A WELL CONTROL technician performed a work on the industrial asset:NOV SHAFFER BOP HPU TRIPLEX PUMP on the location PUMP, HPU TRIPLEX 1, BOP ONLINE, BOP CONTROL SYSTEMS SURFACE EQUIPMENT. The work order description is: Replace cut O ring in Suction strainer housing.. The equipment failed and is described as: Accidentally lose or admit contents.  Source of leak is visible."
23,"A WELL CONTROL technician performed a work on the industrial asset:CAMERON EVO 18 3/4"" 15KSI W/ TANDEM BOOSTER, BONNET, BLIND SHEAR RAM on the location BONNET, LEFT HAND, LBSR, BOP 1. The work order description is: REBUILD LH LBSR BONNET 1207544970001 DUE TO LEAK OBSERVED DURING SOAK TESTING NOVEMBER 28, 2022.
BONNET WAS LAST OVERHAULED ON WORK ORDER 26724 JUNE 2021 AND RECEIVED A 6-MONTH COC EXTENSION AUGUST 2022.. The equipment failed and is described as: Accidentally lose or admit contents.  Source of leak is visible."
24,"A WELL CONTROL technician performed a work on the industrial asset:CHOKE AND KILL JUMPER HOSE on the location HOSE, JUMPER, KILL SIDE, LMRP 2. The work order description is: Replace kill jumper hose on BOP#2 due to rupture during pressure test. The equipment failed and is described as: Accidentally lose or admit contents.  Source of leak is visible."
25,"A WELL CONTROL technician performed a work on the industrial asset:NOV SHAFFER BOP HPU TRIPLEX PUMP on the location PUMP, HPU TRIPLEX 2, BOP ONLINE, BOP CONTROL SYSTEMS SURFACE EQUIPMENT. The work order description is: REPLACE DAMAGED ORING ON SUCTION STRAINER BASKET LID. The equipment failed and is described as: Accidentally lose or admit contents.  Source of leak is visible."
26,"A WELL CONTROL technician performed a work on the industrial asset:FILTER, PILOT, YELLOW POD, BOP 1 CONTROL on the location FILTER, PILOT, YELLOW POD, BOP 1 CONTROL. The work order description is: REPLACE QUANTITY 2 O-RINGS ON THE YELLOW POD PILOT FILTER HOUSING.
ICN 1716180
SEAL KIT = 703741-02-01
O-RING = 702645-13-01. The equipment failed and is described as: Accidentally lose or admit contents.  Source of leak is visible."
27,"A MECHANICAL technician performed a work on the industrial asset:NOV TDX 1250 TOP DRIVE MAIN WELL on the location TOP DRIVE, MAIN WELL. The work order description is: During operation, the seal of the wash pipe presents a leaked on the face with approximately 240 hours of work.. The equipment failed and is described as: Accidentally lose or admit contents.  Source of leak is visible."
28,"A MECHANICAL technician performed a work on the industrial asset:ROUGHNECK, IRON, MPT-200 HYDRATONG, FOR 60-1/2IN AND 75-1/2IN RT on the location IRON ROUGHNECK 1, MAIN WELL, HYDRATONG. The work order description is: Main Hydratong â€“ Cassete B - Upper Clamp OFF function â€“ replace hydraulic hose 617. The equipment failed and is described as: Accidentally lose or admit contents.  Source of leak is visible."
29,"A WELL CONTROL technician performed a work on the industrial asset:PANEL, DIVERTER CONTROL SYSTEM on the location PANEL, DIVERTER CONTROL SYSTEM. The work order description is: Ordering Air regulator for Slipjoint packer on the Diverter control skid. The equipment failed and is described as: Accidentally lose or admit contents.  Source of leak is visible."
30,"A MECHANICAL technician performed a work on the industrial asset:ROUGHNECK, IRON, MPT-200 HYDRATONG, FOR 60-1/2IN AND 75-1/2IN RT on the location IRON ROUGHNECK 1, MAIN WELL, HYDRATONG. The work order description is: Replace Hose - position 708 on lower torque wrench clamp.. The equipment failed and is described as: Accidentally lose or admit contents.  Source of leak is visible."
31,"A MECHANICAL technician performed a work on the industrial asset:DOLLY, RETRACTABLE, TOP DRIVE, MAIN WELL on the location DOLLY, RETRACTABLE, TOP DRIVE, MAIN WELL. The work order description is: Replace Upper Dolly FWD Cylinder retract  hose Â and extend hose Tag TA1 and TA2Â . The equipment failed and is described as: Accidentally lose or admit contents.  Source of leak is visible."
32,"A MECHANICAL technician performed a work on the industrial asset:NOV HYDRATONG MPT-200 on the location IRON ROUGHNECK 1, MAIN WELL, HYDRATONG. The work order description is: Replace make-up / Break-out cylinder with external leaking by new one. The equipment failed and is described as: Accidentally lose or admit contents.  Source of leak is visible."
33,"A WELL CONTROL technician performed a work on the industrial asset:CHOKE AND KILL JUMPER HOSE on the location HOSE, JUMPER, KILL SIDE, LMRP 1. The work order description is: REPLACE THE KILL HOSE AND PUT ALL INFO AGAIST THIS WO.

PICS AND SN FROM NEW HOSE MUST BE ADDED. The equipment failed and is described as: Accidentally lose or admit contents.  Source of leak is visible."
34,A MECHANICAL technician performed a work on the industrial asset:DRILLERS CABIN on the location DRILLERS CABIN. The work order description is: Replace door lock mechanism on Doghouse Aux side door.. The equipment failed and is described as: Fractured or damaged and no longer in one piece 
35,"A WELL CONTROL technician performed a work on the industrial asset:NOV SHAFFER BOP HPU TRIPLEX PUMP on the location PUMP, HPU TRIPLEX 1, BOP ONLINE, BOP CONTROL SYSTEMS SURFACE EQUIPMENT. The work order description is: Replace damaged o-ring on suction strainer basket lid. The equipment failed and is described as: Fractured or damaged and no longer in one piece "
36,"A WELL CONTROL technician performed a work on the industrial asset:CAMERON ROV PANEL on the location PANELS, ROV, BOP 1 CONTROL. The work order description is: Hot stab on flying lead has broken handle and needs to be replaced.. The equipment failed and is described as: Fractured or damaged and no longer in one piece "
37,"A MECHANICAL technician performed a work on the industrial asset:NOV FINGERBOARD on the location FINGER BOARD, UPPER. The work order description is: Replace damaged finger due to not closing on demand.. The equipment failed and is described as: The equipment does not close on demand"
38,"A ELECTRICAL technician performed a work on the industrial asset:NOV HYDRATONG ARN-270- AUX WELL on the location IRON ROUGHNECK 2, AUX WELL, HYDRATONG. The work order description is: we have intermittent on Upper clamp, checked and measured on the coil 28ohm, all seem good, Mech checked on pressure reading 59bar also good.
it was different to pinpoint the problem.
Finally the coil failed, we able to measure the 24vdc all the way to the HT tool, to the very last Jbox. able to measure 24V, but when check ohm, the coil is open on CLAMP function.
replaced and tested all good. The equipment failed and is described as: The equipment does not close on demand"
39,"A ELECTRICAL technician performed a work on the industrial asset:NOV OC3932KCE KNUCKLE BOOM CRANE on the location DECK CRANE 3, KBC STBD AFT. The work order description is: 2 Position Switch Key Exchange. Function _ ""JOYSTICK ON"" / Troca do Switch Key de 2 PosiÃ§Ãµes. FunÃ§Ã£o _ ""JOYSTICK ON"".. The equipment failed and is described as: The equipment does not close on demand"
40,"A WELL CONTROL technician performed a work on the industrial asset:VALVE, AIR CONTROL, PORT OVERBOARD OPEN, DIVERTER CONTROL PANEL on the location VALVES & REGULATORS, PANEL, DIVERTER CONTROL SYSTEM. The work order description is: Diverter overboard valve interlock function failure during function test.
while closing the diverter packer the Port overboard valve remaing opened during the test and did not return to close position with the diverter packer selected to open. The equipment failed and is described as: The equipment does not close on demand"
41,"A DRILLING technician performed a work on the industrial asset:IBOP, UPPER, TOP DRIVE on the location IBOP, UPPER, TOP DRIVE. The work order description is: Change out IBOP on DDM VALVE, I-BOP (KELLY), 7-5/8IN. The equipment failed and is described as: The equipment does not close on demand"
42,"A ELECTRICAL technician performed a work on the industrial asset:NOV HYDRATONG ARN-270 on the location IRON ROUGHNECK 1, MAIN WELL, HYDRATONG. The work order description is: 342A 1-XV101
LOWER CLAMP 011/0FF 
Solenoid To be replaced. The equipment failed and is described as: The equipment does not open on demand"
43,"A MECHANICAL technician performed a work on the industrial asset:NOV FINGERBOARD on the location FINGER BOARD, UPPER. The work order description is: Upper fingerboard casing row 25 slot 1 not working properly.. The equipment failed and is described as: The equipment does not open on demand"
44,"A ELECTRICAL technician performed a work on the industrial asset:NOV FINGERBOARD on the location FINGER BOARD, UPPER. The work order description is: Replace faulty salunda sensors on Fingerboard and Bellyboard. The equipment failed and is described as: The equipment does not open on demand"
45,"A WELL CONTROL technician performed a work on the industrial asset:RECEPTACLE, FEMALE, BLUE POD, BOP 1 CONTROL on the location RECEPTACLE, FEMALE, BLUE POD, BOP 1 CONTROL. The work order description is: While splitting the LMRP from the BOP after EDS wet fire, the blue pod gripper failed to unlock and pulled the trailer ball out of the receptacle. Upon troubleshooting, we found the CCSV armature stuck which caused the gripper to remain locked.

Repair trailer ball (shear pins) and repair CCSV.. The equipment failed and is described as: The equipment does not open on demand"
46,"A ELECTRICAL technician performed a work on the industrial asset:NOV TDX 1250 TOP DRIVE MAIN WELL on the location TOP DRIVE, MAIN WELL. The work order description is: Investigate and repair issue (fuse blown) with open signal on IBOP solenoid. The equipment failed and is described as: The equipment does not open on demand"
47,"A MECHANICAL technician performed a work on the industrial asset:NOV FINGERBOARD on the location FINGER BOARD, UPPER. The work order description is: W/O Created to track Maintenance on Fingerboard April 2023 replacement. Spares and Labor hours should be completed and reported. On the end of de Month W/O must be closed and create new one. The equipment failed and is described as: The equipment does not open on demand"
48,"A ELECTRICAL technician performed a work on the industrial asset:MUD LOW PRESSURE PIPING on the location MUD LP VALVE & PIPING SUCTION. The work order description is: Troubleshooting the actutors Valves in MCS:
  HV â€“ 08-146  ( Aberta, nao aceita comando ).
  HV â€“ 08-128  ( Aberta todo tempo ). 
  HV â€“ 08-132  ( Abre e Fecha somente Local ). - It is working
 HV â€“ 08-96    ( Aberta todo tempo ). - Need to Replace the air manifold.
  HV â€“ 08-94    ( Fica amarela na tela, nao abre nem fecha ao dar comendo ) - Need to Replace the air manifold.         
  HV â€“ 08-92    ( Abre e Fecha somente Local ) - Butterfly Valve is hard to open or close even in manual.
 HV â€“ 08-134  ( Abre e Fecha manualmente ) - Air Manifold or Valve Actuator is damage.
  HV â€“ 08-99    - Test it is working remotely during command to open and close.
          
  Local:  Bombas de Transferencias de BRINE e BASEOIL 

  HCVâ€”08-113  ( Valvula de porcentagem, nao abre ).
  HV â€“ 08- 109   ( Abre e Fecha, fica todo tempo amarela no painel. The equipment failed and is described as: The equipment does not open on demand"
49,"A MECHANICAL technician performed a work on the industrial asset:NOV BELLYBOARD on the location FINGER BOARD, LOWER. The work order description is: REPLACE PNEUMARIC CYLINDER AND PERFORMED FUNCTION TEST.. The equipment failed and is described as: The equipment does not open on demand"
50,"A ELECTRICAL technician performed a work on the industrial asset:DECK CRANE 4, KBC PORT AFT on the location DECK CRANE 4, KBC PORT AFT. The work order description is: Fault find issue with Emergency control system not working.. The equipment failed and is described as: The equipment does not start/function on demand"
51,A MECHANICAL technician performed a work on the industrial asset:NOV OC1891 PDPH CRANE on the location PIPE DECK PIPE HANDLING CRANE (PDPH). The work order description is: Replace motor on slew gear box on PDPH gripper. Due to bearing locking up and cracking housing.. The equipment failed and is described as: The equipment does not start/function on demand
52,"A MECHANICAL technician performed a work on the industrial asset:NOV HYDRATONG MPT-200 on the location IRON ROUGHNECK 2, AUX WELL, HYDRATONG. The work order description is: REPLACE DAMAGED CHAINS. The equipment failed and is described as: The equipment does not start/function on demand"
53,"A MECHANICAL technician performed a work on the industrial asset:NOV HYDRARACKER IV VERTICAL PIPE HANDLER on the location VERTICAL PIPE HANDLER, AUX WELL, HYDRARACKER. The work order description is: Trouebleshooting lower trolley not moving. Report issues found.
Synergi 1611202 - downtime event. The equipment failed and is described as: The equipment does not start/function on demand"
54,"A ELECTRICAL technician performed a work on the industrial asset:LOAD MONITORING SYSTEM, DECK CRANE 1, KBC STBD FWD on the location LOAD MONITORING SYSTEM, DECK CRANE 1, KBC STBD FWD. The work order description is: Replace Pressure Transmitter.. The equipment failed and is described as: The equipment does not start/function on demand"
55,"A MECHANICAL technician performed a work on the industrial asset:NOV HYDRATONG ARN-270- AUX WELL on the location IRON ROUGHNECK 2, AUX WELL, HYDRATONG. The work order description is: AD reported that Aux Hydratong  was not doing the make-up function. Required to check proper full calibration.. The equipment failed and is described as: The equipment does not start/function on demand"
56,"A WELL CONTROL technician performed a work on the industrial asset:NOV SHAFFER MUX CABLE REEL on the location REEL, YELLOW MUX, BOP CONTROL SYSTEMS SURFACE EQUIPMENT. The work order description is: ORDER PARTS TO REBUILD YELLOW MUX REEL CONTROL PANEL  THROTTLE VALVE. The equipment failed and is described as: Accidentally lose or admit contents.  Source of leak is not visible."
57,"A MECHANICAL technician performed a work on the industrial asset:NOV TDX 1250 TOP DRIVE - AUX WELL on the location TOP DRIVE, AUX WELL. The work order description is: REPAIR AIR SWIVEL -  REPLACE SEALS. The equipment failed and is described as: Accidentally lose or admit contents.  Source of leak is not visible."
58,"A DRILLING technician performed a work on the industrial asset:VALVES, MUD STANDPIPE MANIFOLD, AUX WELL, MUD SYSTEM PIPING on the location VALVES, MUD STANDPIPE MANIFOLD, AUX WELL, MUD SYSTEM PIPING. The work order description is: 1 hour NPT while performing test on SFT due to faulty plug valve. The valve will be sent to Mechanics for rebuilding then retesting.. The equipment failed and is described as: Accidentally lose or admit contents.  Source of leak is not visible."
59,"A DRILLING technician performed a work on the industrial asset:IBOP, UPPER, TOP DRIVE, MAIN WELL on the location IBOP, UPPER, TOP DRIVE, MAIN WELL. The work order description is: Investigate Upper IBOP failed pressure test on the 06/04/2023.. The equipment failed and is described as: Accidentally lose or admit contents.  Source of leak is not visible."
60,"A WELL CONTROL technician performed a work on the industrial asset:CHOKE AND KILL MANIFOLD on the location VALVES, MANUAL GATE, 2-1/16"" 10K, CHOKE & KILL SYSTEM. The work order description is: Rebuild gate valve on Choke Manifold  #43
PN# 51014166 SN# EE01C07001-0005-1
SIZE: 2 - 1/16"" - 10Kpsi. The equipment failed and is described as: Accidentally lose or admit contents.  Source of leak is not visible."
61,"A MECHANICAL technician performed a work on the industrial asset:NOV SSGD 1250 DRAWWORKS on the location DRAWWORKS, MAIN WELL. The work order description is: MAINS DW HYD BRAKE TANK FILTRATION. The equipment failed and is described as: Unsatisfactory fluid/lubrication sample"
62,"A MECHANICAL technician performed a work on the industrial asset:HYDRAULIC POWER UNIT (HPU), DRAWWORKS AW FWD on the location HYDRAULIC POWER UNIT (HPU), DRAWWORKS AW FWD. The work order description is: Proceed as it follows within the TMSP report which is transcribed below:

"" We recommend checking for damage in breathers, seals, possible sources of outside contamination and inspect the condition of relevant
components. We also recommend evaluating the best moment, according to the on board conditions, to drain/dehydrate the
compartment or replace the lubricant load and doing the filtering (microfiltration) of the system until obtaining the required
cleanliness level (ISO 4406 17/15/12 or better)"". The equipment failed and is described as: Unsatisfactory fluid/lubrication sample"
63,"A MARINE technician performed a work on the industrial asset:NOV OC1891 PDPH CRANE on the location PIPE DECK PIPE HANDLING CRANE (PDPH). The work order description is: Proceed as it follows within the TMSP report which is transcribed below:

"" We recommend checking the lubrication management plans to evaluate the relubrication of the component. We also recommend that when relubrication the equipment, check for wear points and external contamination"". The equipment failed and is described as: Unsatisfactory fluid/lubrication sample"
64,"A MECHANICAL technician performed a work on the industrial asset:NOV TDX 1250 TOP DRIVE on the location TOP DRIVE, MAIN WELL. The work order description is: Replace MW TDX Gearbox oil and filter. The equipment failed and is described as: Unsatisfactory fluid/lubrication sample"
65,"A MECHANICAL technician performed a work on the industrial asset:NOV HYDRARACKER IV VERTICAL PIPE HANDLER on the location VERTICAL PIPE HANDLER, MAIN WELL, HYDRARACKER. The work order description is: Had top replace the ET's TUBE, TELESCOPIC, HYDRARACKER THREAD TACHO ARRANGEMENT. The is the tube assembly that the tail arm encoder runs through. The two smaller end telescope piece are bent and the teflon ferrules that tubing from over extending one another are missing.. The equipment failed and is described as: A parameter is not controlled as set"
66,"A ELECTRICAL technician performed a work on the industrial asset:LOAD MONITORING SYSTEM, PIPE DECK PIPE HANDLING CRANE (PDPH) on the location LOAD MONITORING SYSTEM, PIPE DECK PIPE HANDLING CRANE (PDPH). The work order description is: Alex- CO reported issues with PDPH winch feedback. Winch load reported to jump from 0kg to 20Kkg. Inspect and troubleshoot winch load cell circuit.. The equipment failed and is described as: A parameter is not controlled as set"
67,"A DRILLING technician performed a work on the industrial asset:BLOCK, TRAVELLING, 1000T, HTB1000 7 X 72IN on the location TRAVELLING BLOCK, MAIN WELL. The work order description is: Grease main top drive load pins. The equipment failed and is described as: A parameter is not controlled as set"
68,"A MECHANICAL technician performed a work on the industrial asset:NOV HPS-03 1000 TOP DRIVE on the location TOP DRIVE, MAIN WELL. The work order description is: WARNING!
	The equipment inspection performed contains a value deviating from the system defined limits for the connected meter reading.
	
	ACTION:
	Verify the registered value is correct.  If the value is not correct or routine maintenance can resolve the deviation, make the necessary corrections and select PASS.
	If the registered value is correct and beyond routine maintenance, it is mandatory to contact Technical Services with the findings and review the immediate actions required.  
	If the failure will require complete overhaul or continued operation with increased monitoring until overhaul, select FAIL.  
Selecting fail will generate an overhaul work order for this equipment.  The scheduling of the overhaul will be decided after review with the Technical Services team. Input the values in the meter readings tab of the completion info section of this work order for meter CBM-WAR. The equipment failed and is described as: A parameter is not controlled as set"
69,"A MECHANICAL technician performed a work on the industrial asset:NOV OC3932KCE KNUCKLE BOOM CRANE on the location DECK CRANE 1, KBC STBD FWD. The work order description is: INSTALL EXTRA PORTATIL FILTER UNIT TO ASSIST INFILTERING. The equipment failed and is described as: A parameter is not controlled as set"
70,"A WELL CONTROL technician performed a work on the industrial asset:NOV SHAFFER BOP HYDRAULIC POWER UNIT (HPU) on the location UNIT, HYDRAULIC POWER, BOP ONLINE, BOP CONTROL SYSTEMS SURFACE EQUIPMENT. The work order description is: Change out Pot Water Sock filters x 2. ICN 2070127. The equipment failed and is described as: A parameter is not controlled as set"
71,"A ELECTRICAL technician performed a work on the industrial asset:NOV HYDRARACKER IV VERTICAL PIPE HANDLER on the location VERTICAL PIPE HANDLER, AUX WELL, HYDRARACKER. The work order description is: Troubleshoot and repair proportional valve controller for main arm Hoist. The equipment failed and is described as: A parameter is not controlled as set"
72,A ELECTRICAL technician performed a work on the industrial asset:NOV OC1891 PDPH CRANE on the location PIPE DECK PIPE HANDLING CRANE (PDPH). The work order description is: Replace KBC angle sensor B on Pipe Deck Handling Crane (PDPH). The equipment failed and is described as: A parameter is not controlled as set
73,"A MECHANICAL technician performed a work on the industrial asset:NOV TDX 1250 TOP DRIVE- MAIN WELL on the location TOP DRIVE, MAIN WELL. The work order description is: Chech pipehandle clamp presure. The equipment failed and is described as: A parameter is not controlled as set"
74,"A ELECTRICAL technician performed a work on the industrial asset:NOV SHAFFER BOP CONTROL COMMON on the location BOP 2 CONTROL SYSTEM. The work order description is: During trouble shooting of BOP1 Blue Pod it was found that PLC Program 
had not been compiled. Due to this we did not compile during operations.
See Email from BOP controls (unable to attach) Needs done from EWS terminal. The equipment failed and is described as: A parameter is not controlled as set"
75,"A MECHANICAL technician performed a work on the industrial asset:NOV 14-P-220 MUD PUMP on the location MUD PUMP 1. The work order description is: WARNING!
	The equipment inspection performed contains a value deviating from the system defined limits for the connected meter reading.
	
	ACTION:
	Verify the registered value is correct.  If the value is not correct or routine maintenance can resolve the deviation, make the necessary corrections and select PASS.
	If the registered value is correct and beyond routine maintenance, it is mandatory to contact Technical Services with the findings and review the immediate actions required.  
	If the failure will require complete overhaul or continued operation with increased monitoring until overhaul, select FAIL.  
Selecting fail will generate an overhaul work order for this equipment.  The scheduling of the overhaul will be decided after review with the Technical Services team. Input the values in the meter readings tab of the completion info section of this work order for meter CBM-WAR. The equipment failed and is described as: A parameter is not controlled as set"
76,"A MECHANICAL technician performed a work on the industrial asset:NOV SSGD 1000 DRAWWORKS on the location DRAWWORKS, AUX WELL. The work order description is: WARNING!
The equipment inspection performed contains a value deviating from the system defined limits for the connected meter reading.
	
ACTION:
Verify the registered value is correct.  If the value is not correct or routine maintenance can resolve the deviation, make the necessary corrections.
If the registered value is correct and beyond routine maintenance, it is mandatory to contact Technical Services with the findings and review the immediate actions required.. The equipment failed and is described as: A parameter is not controlled as set"
77,"A WELL CONTROL technician performed a work on the industrial asset:NOV SHAFFER ROV PANEL on the location PANELS, ROV, LOWER BOP, BOP 2 CONTROL. The work order description is: Replace Visco Jet and Adapter for Acoustic Accumulator ROV pressure gauge.. The equipment failed and is described as: A constraint in flow conductor"
78,"A WELL CONTROL technician performed a work on the industrial asset:NOV SHAFFER BOP HYDRAULIC POWER UNIT (HPU) on the location UNIT, HYDRAULIC POWER, BOP ONLINE, BOP CONTROL SYSTEMS SURFACE EQUIPMENT. The work order description is: Change out filters on HPU mixing unit. The equipment failed and is described as: A constraint in flow conductor"
79,A DRILLING technician performed a work on the industrial asset:DRILL PIPE on the location DRILL PIPES. The work order description is: Repair Pup joints and spiral HWDP. The equipment failed and is described as: A constraint in flow conductor
80,"A ELECTRICAL technician performed a work on the industrial asset:NOV 14-P-220 MUD PUMP on the location MUD PUMP 2. The work order description is: Replace display / HMI, COLOR, 3IN, HORNER, HE-XC1E3. The equipment failed and is described as: Power or signal loss in electrical system"
81,"A ELECTRICAL technician performed a work on the industrial asset:MOTOR, AC, 1230 HP, 3 PHASE, 600V, 1150 AMPS on the location MOTOR 2, GEARBOX 1, DRAWWORKS MW AFT. The work order description is: Pulled encoder stub shaft from stock ICN# 2253647 and staged it in MW DW for when the encoder arrives on board.. The equipment failed and is described as: Power or signal loss in electrical system"
82,"A ELECTRICAL technician performed a work on the industrial asset:NOV FINGERBOARD on the location FINGER BOARD, UPPER. The work order description is: Replace PSU unit in finger board cabinet in TDCR and test for proper function,. The equipment failed and is described as: Power or signal loss in electrical system"
83,A ELECTRICAL technician performed a work on the industrial asset:OPERATOR STATION on the location OPERATOR STATIONS. The work order description is: Troubleshoot wiring harness in base of IOC 1 chair. Driller reported touchscreens will turn magenta color and stop displaying data.. The equipment failed and is described as: Power or signal loss in electrical system
84,A ELECTRICAL technician performed a work on the industrial asset:MHWIRTH DRILL FLOOR MANIPULATOR ARM (DFMA) on the location DRILL FLOOR MANIPULATOR ARM 1. The work order description is: Driller called and reported that the DFMA was inoperable condition. trouble shot and determined that the park proximity sensor had failed.. The equipment failed and is described as: Power or signal loss in electrical system
